Sweep Start (s), 5.1223, 5.28614, 5.44998, 5.61382, 5.77766, 5.9415, 6.10534, 6.26918, 6.43302, 6.59686, 6.7607, 6.92454, 7.08838, 7.25222, 7.41606, 7.5799, 7.74374, 7.90758, 8.07142, 8.23526, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, 
0, -455.0827, -222.1116, -451.7258, -456.3645, -438.0234, -452.7634, -237.7976, -241.0019, -242.009, -235.0205, -243.7485, -241.7954, -237.4619, -211.1863, -232.2434, -239.1404, -226.9944, -228.8559, -240.6662, -230.7175, 
2E-05, -455.1743, -219.1514, -453.0381, -464.0549, -451.0544, -458.6838, -247.4717, -240.5747, -242.1311, -237.6755, -239.2319, -230.5649, -230.748, -202.2751, -238.0417, -228.5508, -236.4243, -231.1753, -229.0696, -224.9497, 
4E-05, -454.0757, -209.2942, -457.0359, -455.7846, -448.9182, -456.1203, -242.2837, -248.4177, -240.9714, -235.3257, -227.0859, -233.9219, -234.3796, -203.0381, -245.5185, -230.8396, -236.0276, -239.9949, -237.2788, -240.9714, 
6E-05, -433.873, -212.1628, -443.0283, -458.7448, -448.3383, -448.9487, -240.2085, -231.4499, -234.7458, -238.1943, -237.2788, -235.5393, -239.5066, -217.4118, -235.936, -236.7295, -227.4216, -247.258, -240.0254, -246.3425, 
8E-05, -460.3623, -205.6321, -456.3034, -459.3552, -451.268, -448.7656, -235.7834, -225.9873, -239.5371, -243.5959, -225.7431, -219.5786, -229.9241, -224.3699, -235.112, -240.5442, -236.3022, -238.1943, -228.3066, -235.1426, 
0.0001, -463.9328, -200.4441, -458.6838, -459.6909, -442.0822, -447.1176, -247.6243, -229.7104, -237.1567, -231.572, -242.1311, -219.5786, -228.4287, -243.2602, -246.6782, -227.9404, -241.5818, -231.8161, -228.6118, -239.1404, 
0.00012, -454.4419, -221.959, -449.1623, -452.153, -420.5674, -448.674, -238.1333, -225.4685, -238.1638, -215.062, -236.8821, -225.3464, -231.511, -250.1267, -247.6853, -234.8679, -241.7954, -239.9033, -244.5725, -244.1452, 
0.00014, -440.9836, -214.6042, -448.2773, -449.8032, -434.8191, -453.6789, -251.3169, -228.8254, -238.4385, -234.9289, -227.0554, -234.7764, -238.1638, -246.7392, -230.4429, -248.2041, -245.5796, -241.3071, -237.6755, -240.6968, 
0.00016, -451.9089, -221.074, -448.0637, -450.383, -445.6223, -448.8571, -247.3801, -229.5884, -228.6728, -232.8537, -242.7109, -231.511, -232.1213, -223.8205, -234.4101, -237.6755, -243.3213, -230.6565, -225.2549, -236.4853, 
0.00018, -467.5034, -205.5405, -454.625, -456.6391, -438.5117, -447.4228, -244.8166, -230.7175, -237.2483, -231.9077, -240.6357, -240.6357, -229.0696, -197.3313, -236.0276, -228.6423, -227.0859, -237.0041, -221.6233, -241.0935, 
0.0002, -459.2331, -216.008, -458.6838, -455.7236, -434.3613, -445.4087, -240.4526, -230.8091, -242.6194, -229.7715, -224.7666, -241.3071, -232.8843, -203.801, -237.1262, -227.269, -233.7693, -247.197, -235.8139, -251.4695, 
0.00022, -446.3547, -211.3694, -462.6206, -452.092, -437.6267, -450.7798, -256.4743, -236.9126, -237.0957, -235.051, -231.4499, -229.7715, -234.7764, -211.1557, -240.8188, -233.5251, -240.3, -239.1709, -244.6946, -239.3845, 
0.00024, -450.1694, -194.1575, -452.1225, -451.5122, -445.4697, -455.3269, -251.2558, -238.8047, -236.699, -233.9829, -239.6592, -235.2646, -230.8091, -202.5803, -233.1589, -245.9763, -234.4712, -220.4026, -241.2461, -233.4031, 
0.00026, -450.5661, -205.4184, -454.747, -452.5498, -443.1198, -453.4043, -244.6335, -231.2058, -230.1682, -236.4853, -239.9643, -238.8657, -235.1426, -206.4255, -235.6614, -230.4429, -228.0625, -221.3181, -230.9006, -222.2336, 
0.00028, -447.3313, -186.9858, -465.0009, -466.3742, -442.7536, -447.1482, -248.0515, -231.2668, -225.1328, -227.2995, -232.0908, -228.2151, -238.4995, -214.9399, -243.4128, -236.3938, -248.3567, -229.4358, -222.9355, -236.9736, 
0.0003, -455.632, -179.6921, -447.1176, -442.1738, -439.9765, -452.916, -240.6357, -235.5393, -245.4575, -221.196, -236.7905, -231.2058, -233.342, -223.5459, -233.7388, -227.0249, -239.7202, -234.105, -239.4761, -223.5154, 
