Sweep Start (s), 87.57148, 87.73532, 87.89916, 88.063, 88.22684, 88.39068, 88.55452, 88.71836, 88.8822, 89.04604, 89.20988, 89.37372, 89.53756, 89.7014, 89.86524, 90.02908, 90.19292, 90.35676, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, 
0, -445.3781, -229.5884, -226.8418, -248.906, -254.7959, -259.9839, -235.8139, -242.3447, -230.8396, -231.3584, -231.9382, -239.9949, -230.7785, -245.7016, -219.1514, -213.4446, -231.6941, -240.6052, 
2E-05, -450.1084, -216.6489, -227.9404, -249.0891, -260.4721, -232.0298, -242.894, -239.8423, -234.5017, -237.6755, -226.5366, -232.9453, -215.7334, -223.3323, -215.1535, -214.9094, -242.6194, -245.6101, 
4E-05, -460.3318, -236.0276, -230.9006, -248.4482, -245.0608, -235.3562, -227.3911, -227.7573, -238.4385, -230.7175, -227.8489, -232.9148, -223.4848, -219.6091, -217.6255, -230.5039, -228.7949, -227.7878, 
6E-05, -449.7422, -244.8472, -241.948, -248.7839, -251.9883, -230.5649, -238.8352, -228.4287, -233.9524, -220.2805, -232.1824, -237.584, -241.124, -218.8157, -219.1208, -223.6069, -229.6494, -235.3562, 
8E-05, -458.4091, -234.105, -244.7556, -233.0063, -253.8804, -234.7153, -244.5115, -238.6216, -232.6096, -234.3796, -239.7202, -221.2571, -230.2903, -245.3049, -220.2805, -224.553, -236.9126, -231.6025, 
0.0001, -445.4392, -236.3327, -237.1567, -250.3098, -245.3049, -254.094, -237.6145, -221.3791, -240.5137, -243.2297, -243.2297, -227.3911, -233.9219, -249.5774, -221.5928, -233.2505, -237.0347, -233.0979, 
0.00012, -442.1128, -222.9966, -239.2014, -251.8357, -259.2209, -239.4761, -226.0178, -238.0417, -222.2336, -236.0276, -242.5278, -228.7949, -230.8091, -234.4101, -215.2756, -222.081, -242.4668, -226.9333, 
0.00014, -442.1433, -241.9175, -234.8069, -242.772, -260.7163, -224.0647, -227.2995, -239.8118, -234.3186, -220.6467, -236.9736, -235.4783, -231.8772, -227.147, -207.219, -210.7895, -237.8586, -228.3677, 
0.00016, -466.9846, -241.7954, -229.2832, -243.2908, -248.3262, -225.3769, -227.4216, -231.572, -223.79, -227.9404, -228.1846, -221.0129, -227.7268, -236.8821, -220.4026, -224.9192, -219.487, -229.1306, 
0.00018, -465.1535, -239.7812, -233.8608, -234.5322, -250.4929, -224.2478, -229.9241, -228.2151, -231.2363, -238.3774, -217.656, -220.7688, -242.833, -236.3938, -220.3721, -235.5088, -232.5791, -246.251, 
0.0002, -453.1906, -239.3845, -232.0298, -247.5022, -252.9953, -236.5159, -238.2859, -229.1611, -250.0962, -251.1948, -232.2434, -239.2319, -223.8205, -228.917, -218.0222, -229.3442, -236.7905, -241.6428, 
0.00022, -433.5984, -231.6941, -241.6733, -246.0984, -249.9131, -232.8232, -232.6706, -219.9753, -245.366, -239.2624, -236.4853, -241.124, -232.6096, -233.9524, -218.48, -213.5361, -233.6472, -232.1824, 
0.00024, -442.2959, -215.5503, -252.5071, -250.5845, -248.1736, -229.802, -240.3, -240.6968, -228.917, -232.5181, -228.3371, -211.0642, -240.0254, -224.0342, -220.25, -215.7639, -241.4597, -233.1589, 
0.00026, -453.0381, -222.7829, -228.093, -249.4248, -236.3327, -211.9797, -231.6636, -237.706, -231.8467, -233.342, -229.8325, -209.9961, -234.8984, -234.0439, -220.4636, -222.5693, -234.9595, -226.2925, 
0.00028, -454.4419, -245.1828, -228.3371, -246.1594, -245.8848, -227.1164, -233.0979, -238.2859, -223.9426, -235.6003, -240.6968, -236.7905, -224.5835, -237.2788, -232.6401, -221.8979, -233.7082, -231.633, 
0.0003, -450.4746, -240.4221, -229.2222, -239.6592, -256.0166, -231.4805, -231.2058, -233.6167, -222.9966, -244.1147, -232.6706, -230.3208, -233.0674, -241.124, -223.6069, -222.844, -234.6238, -233.1284, 
0.00032, -445.4697, -223.9731, -231.0227, -250.0046, -242.3447, -223.9426, -226.9333, -229.9546, -234.105, -228.4897, -241.7954, -235.6919, -230.687, -235.5698, -209.5078, -215.1841, -227.7878, -236.1191, 
0.00034, -430.5161, -238.0417, -244.6946, -231.7856, -244.2368, -229.0696, -229.9546, -232.2434, -249.3332, -238.6216, -235.1731, -230.4734, -235.8445, -230.1987, -209.6299, -217.717, -235.3257, -234.1355, 
0.00036, -450.8408, -224.3393, -234.8679, -232.457, -260.6858, -234.9289, -236.1191, -227.8794, -234.9595, -238.0417, -223.0271, -223.8205, -234.0744, -234.9595, -208.1955, -222.4167, -223.5154, -248.4482, 
0.00038, -461.583, -233.7082, -239.5981, -248.4482, -246.0984, -242.7109, -229.039, -229.4053, -230.0766, -221.135, -218.8462, -229.6494, -248.4482, -237.7976, -217.8696, -229.5884, -234.4712, -231.3279, 
0.0004, -447.6059, -229.6189, -224.8581, -238.3469, -253.4836, -238.9573, -230.2292, -234.0134, -233.342, -225.5906, -228.8559, -228.9475, -237.4009, -233.8608, -223.3628, -240.7578, -236.2412, -228.8254, 
