Sweep Start (s), 93.72086, 93.8847, 94.04854, 94.21238, 94.37622, 94.54006, 94.7039, 94.86774, 95.03158, 95.19542, 95.35926, 95.5231, 95.68694, 95.85078, 96.01462, 96.17846, 96.3423, 96.50614, 96.66998, 96.83382, 96.99766, 97.1615, 97.32534, 97.48918, 97.65302, 97.81686, 97.9807, 98.14454, 98.30838, 98.47222, 98.63606, 98.7999, 98.96374, 99.12758, 99.29142, 99.45526, 99.6191, 99.78294, 99.94678, 100.1106, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, Sweep #32, Sweep #33, Sweep #34, Sweep #35, Sweep #36, Sweep #37, Sweep #38, Sweep #39, Sweep #40, 
0, -448.613, -239.5981, -238.1943, -220.9214, -229.3442, -234.3491, -234.1965, -231.572, -236.6379, -238.2248, -226.2619, -236.2412, -238.1028, -237.645, -236.8515, -232.1824, -224.675, -228.3982, -214.6348, -239.5676, -240.2695, -225.2243, -238.7131, -223.2712, -226.5976, -233.9219, -221.6233, -228.3677, -231.4194, -229.2222, -226.6892, -236.821, -184.4223, -231.3584, -224.6445, -232.8843, -237.9502, -229.9241, -223.4238, -253.331, 
2E-05, -443.2419, -238.8962, -232.0298, -227.4521, -227.9404, -244.3284, -227.9709, -245.9763, -242.4973, -226.5366, -233.3725, -229.8935, -229.9241, -232.2434, -237.1262, -219.8838, -229.4968, -231.6941, -224.2478, -232.0908, -226.6587, -224.9192, -230.9006, -239.6286, -235.3257, -230.3208, -230.1072, -241.0325, -246.5561, -232.4265, -228.8559, -234.4407, -203.3432, -234.2881, -229.1916, -226.4756, -235.3867, -236.2107, -234.4712, -248.906, 
4E-05, -441.7771, -222.1726, -225.0718, -238.8962, -234.5322, -213.5666, -232.2739, -232.0603, -257.5119, -230.0766, -222.7219, -231.6636, -231.6941, -230.5649, -236.3938, -235.2036, -248.2956, -233.3725, -234.8984, -227.8489, -228.5508, -227.3911, -216.9541, -257.8781, -233.3725, -235.5393, -242.1006, -230.9311, -240.6357, -242.2532, -232.9758, -235.0815, -223.3323, -237.3398, -242.4363, -226.6587, -234.6848, -241.4902, -222.1421, -239.5371, 
6E-05, -449.9253, -235.2341, -232.0298, -222.8135, -218.6936, -210.3013, -241.0019, -230.626, -247.9599, -223.4848, -225.7126, -237.7976, -240.7578, -229.5884, -220.8603, -244.8472, -236.7905, -232.9453, -242.2226, -222.5693, -248.4787, -222.2336, -228.6423, -248.1125, -244.9692, -235.4783, -237.7976, -234.4712, -234.8069, -226.6892, -242.2532, -239.0793, -220.2195, -229.0085, -234.8984, -238.7436, -233.1589, -226.5061, -208.4397, -244.8472, 
8E-05, -442.54, -225.0412, -236.0581, -226.1094, -242.5583, -226.5366, -233.0368, -223.5459, -231.4805, -245.8848, -237.4619, -232.0603, -238.6826, -223.1492, -240.1474, -222.7219, -227.2385, -245.7932, -235.4477, -231.3584, -246.4646, -236.2107, -233.4946, -226.0483, -252.8122, -235.4477, -225.6211, -231.1448, -229.1001, -221.5622, -234.0439, -238.8657, -222.1116, -228.0625, -253.0564, -227.269, -232.5181, -216.008, -213.6277, -249.6689, 
0.0001, -438.3896, -222.1726, -213.0173, -221.1045, -221.6233, -227.8794, -223.9731, -233.0674, -228.2151, -222.5083, -238.3164, -246.4035, -221.7759, -238.4079, -243.6875, -216.9541, -214.7568, -238.0112, -230.5344, -242.3142, -235.9665, -239.9643, -245.1523, -222.6609, -252.6291, -245.0608, -234.6543, -235.1731, -217.8696, -223.5154, -233.8913, -237.8281, -233.4031, -237.2483, -234.6543, -230.2598, -238.4995, -243.5959, -225.0107, -251.0422, 
0.00012, -440.1291, -230.8396, -219.7922, -223.9121, -233.9524, -214.7568, -225.3464, -231.7856, -241.7954, -227.3606, -233.342, -233.7388, -228.7034, -236.0886, -239.8423, -226.6587, -229.8935, -237.3398, -230.0461, -239.293, -242.9551, -247.3496, -239.1404, -237.9197, -228.1846, -240.9409, -228.8254, -238.3469, -231.9382, -252.0798, -235.9971, -228.1846, -214.0549, -243.1687, -230.7785, -223.3017, -249.6994, -249.8826, -230.0461, -256.3217, 
0.00014, -447.5144, -251.5, -224.8887, -229.4968, -232.2129, -222.7219, -226.6892, -223.79, -247.5632, -221.7759, -241.4292, -232.0298, -246.9223, -230.9311, -229.3747, -243.2297, -244.9082, -229.0696, -230.7785, -220.5246, -240.7578, -236.821, -238.8047, -240.1169, -244.8472, -243.779, -238.8657, -224.0647, -234.6543, -253.6362, -233.4336, -228.1235, -216.4353, -237.1872, -227.3606, -232.7927, -244.6946, -243.2297, -229.5884, -248.8755, 
