Sweep Start (s), 112.3071, 112.4709, 112.6347, 112.7986, 112.9624, 113.1263, 113.2901, 113.4539, 113.6178, 113.7816, 113.9455, 114.1093, 114.2731, 114.437, 114.6008, 114.7647, 114.9285, 115.0923, 115.2562, 115.42, 115.5839, 115.7477, 115.9115, 116.0754, 116.2392, 116.4031, 116.5669, 116.7307, 116.8946, 117.0584, 117.2223, 117.3861, 117.5499, 117.7138, 117.8776, 118.0415, 118.2053, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, Sweep #32, Sweep #33, Sweep #34, Sweep #35, Sweep #36, Sweep #37, 
0, -450.5356, -224.675, -231.1142, -238.9267, -214.3906, -218.2663, -205.5405, -210.2707, -234.5932, -231.6941, -242.3142, -206.0898, -455.9372, -215.3672, -225.4075, -227.5437, -233.4336, -193.5776, -240.8188, -242.6194, -220.5552, -243.8401, -204.5029, -237.9197, -206.9138, -236.6074, -207.9819, -219.0903, -240.5442, -241.3376, -222.905, -245.0913, -202.5498, -234.3796, -239.6286, -234.9595, -222.3252, 
2E-05, -447.0566, -220.8298, -236.699, -226.0178, -217.1982, -226.5061, -208.8974, -204.9912, -225.8042, -243.2908, -237.3093, -212.3764, -457.9514, -242.0395, -242.1921, -237.7366, -240.5747, -187.9929, -230.9311, -242.8635, -225.0107, -226.2925, -213.0478, -229.8325, -218.3884, -232.3044, -218.7851, -203.9841, -237.7976, -233.1589, -233.5251, -233.8303, -213.7192, -237.645, -245.5491, -249.73, -231.5415, 
4E-05, -455.6931, -228.032, -222.5693, -230.626, -225.1023, -217.6865, -207.8293, -215.2146, -234.9595, -231.9077, -233.8303, -193.6387, -456.2424, -233.0674, -239.7812, -239.5371, -242.894, -190.2207, -230.1377, -249.6994, -230.4734, -215.5808, -213.1089, -231.1448, -200.6882, -237.9807, -232.7927, -204.9302, -241.063, -248.3872, -248.3567, -232.6401, -214.116, -239.2624, -232.7927, -251.5915, -222.3557, 
6E-05, -458.7448, -227.7878, -221.8369, -243.9927, -220.9519, -220.9519, -208.6228, -215.2146, -226.8113, -241.0325, -245.366, -208.3481, -444.4931, -233.6167, -235.2036, -230.2598, -237.5535, -187.6267, -224.675, -247.8379, -247.8074, -228.032, -227.6658, -250.3403, -204.9912, -225.6821, -218.9682, -208.6838, -233.9219, -232.7012, -237.0041, -232.3044, -223.0576, -233.9219, -234.4407, -231.3584, -208.0124, 
8E-05, -448.2468, -221.6233, -223.1186, -220.5552, -214.1465, -224.0036, -222.7219, -210.698, -224.8887, -227.4827, -231.8772, -212.6511, -439.6408, -239.3235, -225.7126, -228.2456, -229.7715, -195.4087, -229.2222, -244.3894, -238.3164, -227.7268, -216.7099, -236.5464, -220.8603, -224.2478, -215.1841, -196.0495, -237.3093, -229.039, -233.8303, -244.7251, -232.3349, -236.7905, -242.5889, -238.469, -222.4167, 
0.0001, -440.1291, -228.917, -237.0347, -235.2952, -207.3105, -231.4805, -211.0947, -209.6909, -232.6401, -224.8887, -233.6472, -209.1721, -432.8659, -232.6401, -226.6282, -226.2619, -219.0903, -196.782, -221.3181, -241.948, -234.105, -236.0886, -203.4653, -238.4995, -212.8342, -226.9333, -203.5264, -198.7656, -244.9997, -236.3022, -244.3284, -234.3491, -217.2898, -226.323, -239.9033, -236.9736, -224.8276, 
0.00012, -442.2043, -235.6919, -250.3403, -234.8374, -223.8511, -235.5698, -209.2637, -208.5007, -219.8838, -228.0014, -232.2129, -198.7961, -446.3242, -236.6074, -229.5273, -234.166, -219.3345, -199.7422, -235.7529, -252.0493, -256.0471, -224.4614, -213.6887, -238.9878, -205.9067, -221.2876, -195.7444, -208.3481, -228.8254, -242.5583, -231.0532, -224.9802, -214.6958, -244.9997, -237.645, -246.9223, -219.2124, 
0.00014, -451.8479, -244.1452, -236.4243, -239.3845, -229.4968, -220.8603, -210.8506, -219.8227, -216.1911, -226.2619, -235.5088, -206.7002, -474.0647, -215.001, -237.2178, -243.2297, -223.6069, -209.3552, -229.4358, -252.6597, -254.8264, -230.7785, -211.0947, -229.4968, -227.9709, -225.3769, -200.9324, -205.8762, -227.6963, -239.2319, -228.8254, -241.4902, -210.7285, -230.5039, -242.1616, -242.3447, -221.4402, 
0.00016, -450.4135, -229.3747, -232.9453, -242.7414, -214.116, -217.0456, -211.4609, -219.365, -207.0664, -238.7742, -228.5508, -218.3884, -459.2636, -229.9851, -240.5442, -234.2881, -231.3889, -205.2048, -222.7829, -243.4433, -250.7981, -236.1802, -218.7241, -239.3845, -240.4526, -218.4494, -213.4446, -222.966, -234.5627, -232.9148, -235.1731, -230.0766, -192.9978, -209.4162, -243.1077, -224.0952, -218.8157, 
0.00018, -459.1721, -212.4985, -237.9197, -233.6167, -212.3764, -218.9988, -213.2615, -231.3279, -198.7046, -234.2881, -219.1819, -206.8528, -450.0168, -227.0249, -231.5415, -225.6821, -231.4805, -202.1531, -228.7644, -232.5181, -256.4133, -226.5671, -211.8577, -245.9458, -232.7927, -217.9612, -225.7431, -214.6348, -236.8515, -233.5556, -232.5791, -228.0625, -198.8266, -194.3711, -239.1709, -238.4995, -218.6631, 
0.0002, -452.6718, -214.3601, -237.8586, -233.6167, -224.614, -228.4592, -211.0947, -244.0232, -200.5051, -228.2151, -233.281, -200.1694, -452.2751, -222.2947, -231.2973, -228.4287, -222.8135, -181.4011, -222.2031, -243.3823, -250.7065, -235.8445, -198.7046, -238.9267, -248.3262, -217.6255, -223.4543, -197.728, -235.3867, -238.8352, -222.1116, -236.0276, -199.0098, -211.5525, -245.5796, -245.3049, -214.3296, 
0.00022, -448.9487, -224.2783, -231.1142, -241.3071, -226.9639, -241.2766, -209.3857, -246.4951, -216.3132, -239.1709, -240.7273, -204.9607, -446.1716, -212.8342, -229.2832, -229.4968, -230.1682, -202.977, -228.8559, -250.1877, -246.0373, -230.9922, -207.6462, -250.7065, -244.1452, -232.5486, -229.7715, -205.1133, -236.5769, -236.5769, -240.0559, -241.2156, -197.9111, -228.3982, -232.5486, -231.3279, -204.8081, 
0.00024, -459.0805, -239.2014, -230.0766, -235.9665, -226.0788, -224.0647, -206.2119, -241.4292, -209.7519, -242.0395, -232.6096, -209.4468, -453.6484, -219.6091, -237.7671, -233.3115, -238.2248, -198.0332, -231.8467, -236.1191, -232.8537, -230.8701, -205.7541, -244.3284, -239.5676, -235.2952, -225.499, -219.5481, -229.3442, -238.2859, -235.875, -243.6875, -202.2446, -216.3132, -238.7131, -226.0788, -213.6887, 
0.00026, -448.1552, -227.9709, -240.1169, -235.0205, -231.8772, -206.5171, -212.5596, -226.2925, -203.4348, -233.0063, -219.7922, -206.5781, -440.6784, -234.7458, -253.9719, -235.5698, -239.8423, -194.7983, -235.6614, -239.0488, -232.7012, -235.4172, -211.1557, -239.5371, -232.8232, -247.6853, -222.1421, -206.4866, -241.4902, -236.76, -224.5835, -244.8166, -192.3264, -214.7873, -239.354, -236.3327, -211.0947, 
0.00028, -440.2817, -226.7807, -247.9294, -226.9028, -219.6702, -217.2898, -212.8647, -225.8347, -213.1394, -226.4451, -228.7949, -200.9629, -448.9182, -236.4853, -233.3115, -231.9077, -239.6897, -200.0168, -232.8537, -241.1545, -232.7927, -230.5344, -213.6582, -249.6994, -234.105, -243.9011, -202.7329, -195.0119, -244.6946, -229.7715, -220.311, -232.6401, -188.7864, -212.5901, -239.4761, -253.5447, -218.2969, 
0.0003, -445.5307, -231.8161, -230.8396, -234.3186, -224.0647, -231.5415, -204.9912, -239.293, -218.6631, -222.966, -236.5159, -196.904, -458.3786, -222.2031, -227.0554, -221.196, -239.5981, -195.4087, -223.9121, -256.6574, -214.2685, -229.9851, -202.5193, -237.0957, -237.5229, -244.8166, -207.219, -196.3242, -222.1421, -236.699, -210.1487, -237.3093, -184.4834, -202.7329, -246.9529, -239.415, -221.7453, 
0.00032, -442.5705, -235.0815, -226.3535, -241.5513, -228.5813, -226.1399, -197.4228, -248.3262, -203.0991, -234.105, -240.4221, -188.115, -455.9983, -228.093, -237.9807, -238.8047, -222.8135, -214.0549, -230.3208, -246.4035, -222.7219, -225.56, -218.9682, -229.2222, -237.645, -254.6128, -216.8625, -204.5334, -223.9426, -227.7268, -213.5361, -237.7671, -202.7939, -221.8064, -233.0674, -233.9829, -200.383, 
0.00034, -448.2468, -233.1894, -238.0112, -236.9126, -236.3633, -215.8249, -204.8996, -249.2417, -203.7095, -239.2319, -237.6145, -207.4936, -437.8708, -222.3252, -235.875, -236.7295, -228.7034, -218.7241, -237.6145, -246.7087, -222.4167, -236.4853, -213.9023, -238.53, -230.7785, -249.9436, -218.7241, -198.6741, -233.5556, -238.7131, -241.5818, -248.6008, -196.904, -223.2102, -229.5273, -243.7485, -203.2212, 
0.00036, -464.6653, -236.9736, -228.4592, -226.2314, -219.1208, -222.3862, -206.1509, -239.415, -216.7099, -230.8701, -233.0979, -201.8174, -448.7961, -233.9829, -221.196, -238.2248, -240.7578, -211.7356, -230.9617, -228.093, -233.8608, -241.2766, -200.8713, -244.1758, -239.5676, -242.5278, -204.4114, -199.498, -258.1528, -241.3071, -217.5644, -240.3916, -190.2817, -211.1557, -251.8662, -238.8352, -207.0359, 
