Sweep Start (s), 94.28132, 94.44516, 94.609, 94.77284, 94.93668, 95.10052, 95.26436, 95.4282, 95.59204, 95.75588, 95.91972, 96.08356, 96.2474, 96.41124, 96.57508, 96.73892, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, 
0, -446.5378, -232.2129, -226.8113, -240.8188, -217.656, -231.511, -254.3076, -233.9219, -250.9507, -230.3208, -217.8086, -215.5808, -239.0793, -233.342, -249.8826, -441.9602, 
2E-05, -447.4228, -231.2668, -239.6592, -232.8537, -209.9961, -218.7546, -266.9724, -232.6706, -239.2624, -239.2319, -225.9873, -215.3977, -229.0085, -233.6472, -237.3093, -440.8615, 
4E-05, -440.0681, -235.5088, -220.7688, -244.0537, -202.6413, -245.6406, -262.5779, -240.2085, -255.1621, -226.9028, -227.2995, -195.2561, -236.7905, -240.9409, -220.311, -435.4904, 
6E-05, -461.4304, -239.9643, -218.602, -235.112, -210.8811, -230.626, -255.1621, -236.1191, -242.0701, -230.7175, -223.729, -200.9629, -252.2019, -239.6592, -233.1894, -436.8027, 
8E-05, -451.1154, -234.2881, -240.9104, -228.917, -207.3105, -246.0679, -241.8869, -229.863, -230.8701, -239.7507, -215.886, -195.2256, -234.3491, -228.032, -232.4875, -452.2751, 
0.0001, -457.5852, -239.4761, -241.4902, -235.0815, -224.7666, -246.0373, -243.9927, -237.0347, -236.6684, -251.1338, -215.123, -193.1809, -240.6052, -231.4805, -237.584, -437.8098, 
0.00012, -451.0239, -240.6357, -230.1072, -220.7688, -234.227, -236.3022, -232.4875, -244.2673, -236.9126, -235.9055, -223.9731, -203.5874, -239.9949, -236.5769, -233.9219, -431.3401, 
0.00014, -449.2234, -223.8816, -234.4101, -238.6521, -240.0864, -230.5954, -231.4805, -243.1992, -229.802, -231.0227, -228.917, -205.6321, -229.1306, -236.3327, -229.0696, -431.9199, 
0.00016, -457.5547, -227.5132, -236.4853, -235.051, -226.4756, -230.3818, -227.269, -236.1496, -235.3257, -225.9263, -223.2712, -199.5896, -229.741, -239.0488, -230.1377, -431.3706, 
0.00018, -462.0102, -226.2619, -230.7785, -237.4009, -225.1328, -239.2319, -240.2695, -233.1894, -242.2837, -231.0532, -233.7998, -197.1482, -234.0134, -223.4238, -237.584, -439.885, 
0.0002, -461.8882, -239.3845, -233.5556, -239.4761, -222.3557, -228.7339, -257.6645, -233.4031, -233.8608, -237.5229, -238.4995, -216.1606, -235.6614, -220.5246, -225.9873, -443.0893, 
0.00022, -449.4675, -240.8799, -224.9192, -216.8015, -206.0288, -224.0952, -244.6335, -241.5207, -220.4636, -236.7905, -233.5251, -211.4609, -231.4194, -237.706, -229.9851, -436.3755, 
0.00024, -451.0239, -225.3159, -239.9033, -230.8091, -217.8696, -234.7764, -224.675, -260.7163, -239.1098, -236.1802, -241.9175, -200.3525, -224.0036, -234.2881, -230.9922, -445.2866, 
0.00026, -460.5759, -242.9551, -233.4641, -245.2439, -228.3371, -227.269, -239.1098, -239.0183, -233.5556, -239.1709, -232.4875, -213.1394, -217.4424, -225.2854, -242.4363, -442.7536, 
0.00028, -459.1416, -244.9692, -235.4172, -232.6401, -228.1235, -232.5181, -249.6384, -224.5224, -237.3093, -237.9502, -236.3022, -213.9634, -225.3159, -243.779, -239.8728, -438.237, 
0.0003, -469.3344, -237.9502, -242.1921, -238.1333, -234.4712, -224.3699, -234.4407, -232.6401, -244.0232, -232.0908, -239.5066, -213.5972, -235.8445, -223.8205, -232.0908, -456.6696, 
0.00032, -463.6887, -233.5556, -230.6565, -232.0298, -230.2903, -237.1872, -232.3655, -229.2832, -232.1824, -233.5556, -224.7971, -220.2805, -231.2363, -226.2619, -250.5539, -433.812, 
