Sweep Start (s), 11.12736, 11.2912, 11.45504, 11.61888, 11.78272, 11.94656, 12.1104, 12.27424, 12.43808, 12.60192, 12.76576, 12.9296, 13.09344, 13.25728, 13.42112, 13.58496, 13.7488, 13.91264, 14.07648, 14.24032, 14.40416, 14.568, 14.73184, 14.89568, 15.05952, 15.22336, 15.3872, 15.55104, 15.71488, 15.87872, 16.04256, 16.2064, 16.37024, 16.53408, 16.69792, 16.86176, 17.0256, 17.18944, 17.35328, 17.51712, 17.68096, 17.8448, 18.00864, 18.17248, 18.33632, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, Sweep #32, Sweep #33, Sweep #34, Sweep #35, Sweep #36, Sweep #37, Sweep #38, Sweep #39, Sweep #40, Sweep #41, Sweep #42, Sweep #43, Sweep #44, Sweep #45, 
0.00016, -240.3, -225.3769, -188.0845, -230.1682, -234.3491, -235.6919, -226.5671, -216.9541, -228.3982, -224.1257, -212.4985, -445.2561, -234.4101, -225.8652, -223.2712, -238.8657, -234.166, -236.76, -236.0886, -235.9055, -232.9453, -233.22, -226.5976, -232.1518, -226.9333, -231.0227, -234.8374, -219.5786, -231.9382, -228.8559, -223.3323, -231.2058, -235.1731, -248.0515, -245.8848, -233.4031, -219.426, -186.345, -235.6919, -224.9497, -230.3818, -236.0581, -225.5906, -222.3557, -232.9453, 
0.00018, -236.3327, -225.3464, -203.0076, -228.3677, -245.4575, -251.3779, -235.0205, -228.7644, -231.572, -239.4761, -212.3154, -454.5639, -246.7698, -234.3796, -248.967, -237.3398, -208.5618, -239.2014, -239.6286, -230.0156, -233.4946, -227.0249, -229.3137, -224.614, -235.4783, -237.4009, -228.2456, -232.5181, -239.2014, -227.8183, -257.1457, -231.0227, -228.1235, -234.3186, -235.5393, -246.0984, -246.9834, -206.9748, -221.196, -227.9099, -233.5556, -241.948, -213.3225, -212.5901, -228.7034, 
0.0002, -233.281, -225.5295, -200.7493, -241.9175, -229.0085, -234.166, -241.8564, -236.0886, -234.99, -226.9639, -225.2854, -450.4441, -249.9741, -232.5791, -247.7768, -223.8816, -214.9094, -229.3747, -239.9338, -229.5578, -236.8821, -243.1992, -233.281, -235.7834, -228.2761, -239.354, -224.8276, -241.0935, -235.5088, -232.1213, -248.2956, -249.1501, -224.1868, -247.5022, -235.8445, -230.1987, -239.354, -236.5464, -224.7971, -232.396, -221.9285, -249.4858, -224.0342, -212.2544, -223.4848, 
0.00022, -229.6189, -225.5906, -209.874, -235.936, -224.2478, -228.1846, -240.7273, -242.4057, -226.1399, -234.105, -214.4516, -442.1433, -231.0227, -227.0554, -244.4199, -232.9453, -221.3791, -229.5578, -236.2717, -223.3628, -229.1001, -227.9099, -237.8586, -235.3867, -238.0112, -237.5535, -230.1072, -232.8232, -243.9927, -230.748, -234.5017, -236.699, -243.2297, -230.1987, -234.8374, -239.6592, -239.7507, -234.6238, -253.4531, -227.3911, -233.9524, -245.9763, -237.7366, -238.6216, -242.3752, 
0.00024, -218.3579, -231.572, -218.0222, -241.124, -215.2451, -242.4363, -233.6167, -240.8188, -241.0019, -232.5791, -213.6582, -447.0261, -232.1824, -223.7595, -232.5486, -230.3818, -214.8484, -223.8816, -228.7644, -234.9595, -231.3279, -236.1802, -242.7109, -231.633, -226.9028, -234.2576, -236.76, -222.5083, -229.3442, -235.1426, -247.1665, -222.8745, -226.0788, -232.8537, -237.3703, -239.1098, -237.0041, -238.2554, -237.0041, -232.0908, -235.9971, -232.9148, -228.093, -230.8091, -250.0351, 
0.00026, -237.645, -235.4783, -210.8201, -241.6123, -229.863, -237.5229, -230.6565, -233.5862, -245.6711, -230.9311, -226.1094, -449.2539, -233.5251, -241.2461, -231.1753, -236.0276, -205.9372, -242.9551, -237.0041, -234.8374, -231.6025, -233.7693, -232.2739, -236.7905, -226.4451, -233.1284, -238.1028, -224.0342, -244.6335, -228.8254, -249.5469, -233.281, -236.8515, -234.7458, -242.2837, -225.3769, -218.8157, -229.1611, -221.1045, -221.8064, -233.5862, -231.4805, -225.0718, -231.9687, -216.9846, 
0.00028, -232.3044, -232.9453, -213.4446, -227.4521, -237.2788, -229.4663, -228.917, -239.293, -224.4614, -232.1213, -231.7246, -436.9553, -236.4243, -239.8118, -224.9497, -228.917, -212.6816, -254.4907, -229.9546, -230.0766, -216.1301, -230.9006, -224.675, -233.342, -225.56, -226.4756, -231.0532, -230.626, -228.8254, -224.3088, -247.2275, -244.0842, -235.8445, -228.6728, -235.6919, -236.0581, -232.8537, -236.7905, -226.6282, -221.074, -240.0559, -230.4429, -222.6609, -232.6096, -229.039, 
0.0003, -240.0254, -228.3371, -205.6626, -230.9617, -232.2129, -230.4123, -231.3584, -238.0417, -236.7905, -228.5202, -219.3955, -448.4299, -226.4451, -224.7361, -235.3257, -246.6782, -219.6702, -230.7785, -237.3093, -233.3725, -238.8352, -242.1616, -237.2178, -238.1333, -236.0886, -250.7676, -237.4619, -228.7949, -234.0439, -232.3044, -236.4853, -234.2881, -230.7175, -226.7807, -234.1965, -227.4827, -247.8074, -236.4853, -235.4172, -233.4641, -239.0793, -228.0625, -225.3464, -245.8237, -246.1594, 
0.00032, -241.3987, -218.9682, -210.3013, -232.0298, -227.3911, -234.5627, -222.2031, -238.7131, -238.7131, -233.2505, -209.3857, -459.2026, -228.7644, -243.9927, -236.6074, -230.5954, -221.2571, -222.6914, -234.0439, -245.7016, -251.2558, -232.0298, -245.7016, -238.4079, -229.3442, -236.8821, -222.5693, -230.5954, -232.7317, -251.8662, -246.0068, -217.5644, -241.0325, -224.0342, -225.8957, -230.0766, -229.3137, -226.5671, -240.5442, -233.6777, -241.124, -243.9621, -227.9404, -229.741, -243.5044, 
0.00034, -226.5671, -234.7153, -212.8647, -242.1921, -215.3061, -229.7715, -238.0417, -239.6592, -238.7742, -230.1682, -220.9824, -450.5661, -224.675, -253.9719, -234.0134, -227.7878, -222.081, -240.2085, -240.3611, -243.3823, -227.1775, -232.4265, -233.0979, -234.8984, -240.4221, -228.917, -230.3513, -224.3699, -229.6494, -246.7698, -252.5071, -233.7388, -238.8352, -231.0532, -239.9033, -236.9736, -231.0837, -230.2292, -232.9453, -244.603, -229.9241, -235.8445, -233.6777, -226.3535, -236.9736, 
