Sweep Start (s), 11.12736, 11.2912, 11.45504, 11.61888, 11.78272, 11.94656, 12.1104, 12.27424, 12.43808, 12.60192, 12.76576, 12.9296, 13.09344, 13.25728, 13.42112, 13.58496, 13.7488, 13.91264, 14.07648, 14.24032, 14.40416, 14.568, 14.73184, 14.89568, 15.05952, 15.22336, 15.3872, 15.55104, 15.71488, 15.87872, 16.04256, 16.2064, 16.37024, 16.53408, 16.69792, 16.86176, 17.0256, 17.18944, 17.35328, 17.51712, 17.68096, 17.8448, 18.00864, 18.17248, 18.33632, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, Sweep #32, Sweep #33, Sweep #34, Sweep #35, Sweep #36, Sweep #37, Sweep #38, Sweep #39, Sweep #40, Sweep #41, Sweep #42, Sweep #43, Sweep #44, Sweep #45, 
0.01176, -224.5835, -226.7502, -220.0669, -238.1638, -232.4875, -238.6521, -232.0908, -215.8249, -222.8745, -221.196, -229.3747, -454.1672, -225.3159, -234.1355, -240.4221, -200.4441, -226.8418, -229.802, -226.6282, -232.7622, -250.4624, -215.947, -224.7361, -225.0412, -239.0183, -225.1328, -231.4499, -221.6538, -251.6831, -232.0298, -236.9431, -232.1518, -238.9573, -228.5813, -229.3442, -228.8865, -239.354, -233.4641, -245.7322, -231.511, -242.4363, -232.3655, -248.8755, -221.1045, -225.1328, 
0.01178, -231.511, -238.4385, -214.6653, -233.1894, -226.5671, -230.0461, -232.7317, -228.7644, -236.0886, -238.7131, -236.5464, -445.5307, -232.7012, -242.6804, -229.2222, -192.9368, -225.438, -232.2739, -234.4407, -242.3142, -237.5229, -233.8303, -229.863, -225.7126, -226.4756, -246.9834, -235.7834, -233.1894, -244.3894, -230.748, -232.3044, -233.5862, -241.6123, -226.0483, -222.7829, -234.8679, -232.0298, -242.6194, -239.4761, -222.2641, -237.0347, -235.4172, -233.4031, -239.3235, -235.9055, 
0.0118, -228.2151, -249.3332, -209.2637, -235.5393, -238.3774, -227.3606, -233.1284, -236.699, -240.3306, -245.7322, -232.5181, -456.7612, -228.9475, -246.7087, -237.8891, -193.8218, -237.8586, -246.1899, -233.4641, -229.0696, -234.7458, -240.7273, -230.9311, -231.4499, -241.6733, -246.3425, -233.2505, -227.9099, -239.5371, -229.9546, -238.0112, -228.7644, -221.196, -231.0837, -229.3747, -244.4809, -242.5278, -238.7436, -231.4805, -249.5469, -239.1404, -247.3801, -229.6189, -238.6216, -225.7126, 
0.01182, -233.5556, -237.2178, -207.4936, -228.3677, -227.269, -233.7693, -249.3332, -241.9785, -232.0908, -237.5229, -234.9595, -458.3481, -229.7715, -231.5415, -241.2156, -212.468, -234.7153, -225.2854, -241.9175, -226.7502, -244.7556, -230.7785, -227.9709, -229.2832, -239.0793, -235.6919, -216.7405, -230.1377, -239.0183, -227.7268, -231.511, -222.3862, -223.5459, -228.7949, -237.3703, -229.2832, -239.8423, -215.2756, -226.2619, -239.7202, -233.6472, -235.2952, -229.1611, -231.9382, -230.4734, 
0.01184, -238.7742, -230.4429, -222.0505, -219.5176, -218.7241, -231.7856, -240.3306, -236.8821, -225.4685, -230.2598, -232.6096, -450.6882, -237.3093, -228.9475, -236.4243, -214.116, -230.4429, -235.936, -235.7834, -229.5578, -245.5185, -247.1665, -231.7246, -230.0766, -231.2668, -232.2739, -221.4707, -238.2554, -227.8794, -239.4455, -237.8586, -230.9617, -231.4805, -236.2412, -226.1704, -226.4145, -243.8401, -230.5649, -234.4101, -233.5556, -246.0984, -225.9568, -236.8515, -238.7742, -233.5556, 
0.01186, -229.3747, -235.0205, -210.759, -226.4451, -237.8586, -224.2173, -220.9824, -220.8298, -237.584, -238.469, -234.166, -450.4441, -235.1426, -232.2739, -224.7361, -208.8059, -238.2859, -240.7578, -230.3208, -235.051, -228.3066, -231.7856, -230.5649, -231.2058, -205.3269, -220.4331, -227.7268, -236.4548, -227.9709, -243.3213, -233.6167, -244.8166, -238.9878, -233.6472, -232.2739, -227.8489, -228.2761, -242.6194, -228.7339, -237.6755, -235.4172, -230.5649, -217.9306, -245.3354, -227.0554, 
0.01188, -236.3022, -239.0793, -210.5149, -223.5459, -229.8935, -229.1611, -243.718, -231.3889, -230.3818, -235.7224, -228.917, -454.3808, -225.438, -215.8249, -243.5349, -224.7361, -237.7671, -240.0559, -224.6445, -233.9829, -243.6875, -232.6706, -233.0979, -231.4194, -208.2566, -237.6755, -236.9126, -217.0151, -237.8281, -237.2178, -236.0886, -243.2602, -228.917, -234.105, -231.2363, -234.1355, -236.1191, -243.1077, -222.7524, -234.6848, -227.0554, -230.0156, -234.1965, -232.3044, -236.6074, 
0.0119, -235.6308, -228.0625, -213.8718, -234.3186, -237.706, -232.6401, -244.0232, -221.5928, -259.6787, -236.5769, -234.1355, -450.7187, -225.3769, -223.1797, -228.5813, -241.3987, -242.5278, -222.9966, -225.7737, -229.1611, -261.113, -227.9099, -230.2598, -226.2314, -188.3896, -233.5862, -242.5889, -237.2483, -238.8047, -239.6286, -240.7883, -234.0134, -237.4009, -232.0603, -242.4057, -238.9878, -240.9104, -240.5442, -239.2014, -233.7998, -229.9851, -234.7153, -238.8657, -237.2788, -244.0232, 
0.01192, -233.9829, -223.2712, -217.5644, -233.4336, -240.3306, -235.2952, -236.2107, -221.5012, -251.3474, -231.6941, -224.3088, -448.9792, -233.7388, -232.7927, -230.3208, -227.4216, -233.4336, -232.6096, -224.1868, -238.5605, -243.7485, -229.4663, -221.196, -230.2292, -211.3999, -235.3867, -221.7148, -224.4004, -230.1987, -229.863, -238.3469, -236.7295, -246.8003, -238.469, -233.3725, -230.0766, -226.1094, -238.8047, -245.2134, -223.5154, -235.2646, -227.208, -228.7339, -242.5583, -231.1142, 
0.01194, -243.5044, -231.8772, -211.2473, -227.5132, -223.79, -241.4597, -232.2434, -227.9099, -228.5813, -224.7666, -231.7856, -443.3945, -219.7922, -241.3071, -234.9595, -226.5976, -225.4075, -244.2368, -234.1355, -238.5605, -239.8118, -225.8652, -230.2292, -244.3589, -209.3247, -236.3633, -234.9595, -239.5676, -218.9072, -230.4429, -229.4968, -241.6428, -257.2373, -243.2908, -242.1616, -239.9338, -224.9192, -229.741, -235.5088, -235.9055, -241.0019, -228.8865, -232.3655, -240.178, -227.7878, 
0.01196, -232.7927, -224.3088, -216.0996, -236.5464, -230.0766, -237.8281, -229.2222, -234.105, -228.5508, -232.0908, -232.7927, -456.1203, -238.591, -240.0864, -238.0417, -234.6238, -225.6516, -241.5207, -232.3349, -234.3186, -243.9011, -231.2058, -231.3279, -236.9431, -190.6174, -231.7551, -222.3252, -231.3279, -232.2434, -233.4031, -246.2204, -230.0766, -254.8264, -241.4902, -239.0183, -229.3747, -235.875, -228.7644, -229.6189, -237.584, -243.7485, -234.8984, -217.3813, -238.6216, -240.8188, 
0.01198, -225.2243, -229.4663, -220.0364, -241.2156, -225.5906, -233.4641, -227.4521, -227.4827, -231.2058, -229.2527, -238.2859, -457.8293, -238.7131, -236.2412, -224.2478, -224.4004, -239.9033, -235.7529, -220.9519, -236.1191, -242.0395, -235.1731, -237.8281, -240.6968, -210.3928, -227.5742, -220.7383, -235.3867, -231.9993, -229.7715, -224.7361, -207.1274, -238.1028, -238.3469, -224.675, -239.3845, -232.5791, -227.147, -239.7202, -238.0112, -236.8821, -239.8118, -236.4243, -224.7361, -229.7715, 
0.012, -233.0979, -229.741, -226.9639, -223.4848, -228.6118, -234.8984, -235.9055, -240.5137, -233.5556, -227.8489, -242.1006, -453.801, -244.6946, -241.3376, -227.4521, -235.051, -235.6308, -221.6233, -233.4336, -228.7034, -248.6008, -240.9409, -251.9883, -225.0718, -207.3716, -232.9453, -229.4053, -229.6189, -227.8183, -235.4783, -231.6636, -240.6968, -234.2881, -236.1802, -229.9546, -238.7742, -245.9763, -242.8025, -245.6101, -242.9856, -227.6658, -235.8445, -251.8967, -232.7317, -228.5813, 
0.01202, -236.5159, -240.5442, -213.8413, -232.0908, -241.9785, -225.499, -231.1753, -238.9878, -231.2058, -225.3769, -229.4053, -448.7351, -238.7742, -239.0183, -231.511, -235.6003, -234.105, -227.3606, -223.79, -240.9714, -256.688, -235.2646, -232.5181, -240.6662, -197.4228, -236.0581, -240.2695, -236.0276, -244.9387, -232.3349, -237.8586, -254.1245, -227.8794, -228.4592, -223.3017, -227.3911, -240.6052, -229.3137, -221.4402, -228.2456, -231.5415, -230.8396, -231.0837, -237.0652, -242.772, 
0.01204, -235.4783, -232.8843, -210.5149, -235.2646, -236.8515, -239.9338, -240.0864, -230.8396, -227.6352, -236.3327, -229.1001, -444.0964, -226.3535, -233.9524, -241.0935, -230.2292, -240.7883, -234.2881, -224.5224, -236.0581, -239.5371, -212.6816, -230.2903, -242.4973, -209.5078, -223.3933, -235.875, -231.2668, -230.5649, -245.1828, -235.051, -232.0298, -225.6211, -234.9289, -229.2222, -227.7878, -225.8347, -235.5698, -228.2151, -221.2265, -229.741, -236.6074, -235.3257, -232.7622, -245.7016, 
0.01206, -218.9072, -238.4079, -226.8418, -228.1235, -228.2151, -236.5769, -234.3186, -227.2995, -234.0134, -230.0156, -222.5083, -452.5498, -220.2805, -239.3235, -235.8445, -226.4451, -233.4336, -238.4385, -237.2178, -234.1355, -231.8467, -232.7622, -236.2717, -239.2014, -215.6418, -231.9993, -233.342, -227.269, -243.1382, -232.7927, -236.7295, -232.1213, -240.1169, -237.0347, -233.5862, -242.4973, -244.1147, -233.6472, -241.7038, -242.772, -235.4783, -238.3469, -233.342, -229.741, -230.1377, 
0.01208, -234.9289, -233.4031, -212.8342, -231.511, -219.9143, -222.1726, -230.2292, -230.2598, -232.457, -237.645, -224.0036, -451.8479, -211.3083, -233.8913, -231.1448, -211.6135, -226.8113, -227.208, -233.8608, -235.3562, -245.8542, -243.8096, -238.53, -228.5202, -212.2239, -240.9104, -233.9829, -244.5725, -229.8935, -216.6489, -227.0554, -237.5535, -234.2576, -228.093, -238.4385, -240.7273, -241.3681, -240.8188, -237.5229, -238.6216, -232.4875, -243.5654, -228.8254, -218.3884, -236.4853, 
0.0121, -252.9038, -235.3562, -206.6086, -229.0085, -244.0842, -230.2903, -232.2129, -233.1589, -222.966, -242.7109, -240.5747, -452.3667, -239.2624, -225.0718, -235.9055, -215.3977, -226.1094, -242.7109, -221.6843, -229.9546, -240.0559, -240.7273, -235.2341, -227.8794, -214.238, -216.9846, -214.2991, -242.0701, -216.1301, -228.7644, -224.675, -236.3633, -230.3513, -229.1916, -238.8962, -237.0957, -219.9448, -237.8891, -226.2314, -226.1704, -229.6494, -240.8188, -231.8467, -233.0979, -234.9595, 
0.01212, -241.5207, -234.6543, -208.989, -242.2532, -239.9338, -239.5066, -239.3845, -225.9873, -229.1306, -232.6706, -249.852, -453.5874, -240.7578, -229.7715, -229.9241, -199.8032, -218.5105, -229.1001, -237.706, -233.342, -243.8096, -232.6401, -235.0205, -225.8042, -209.4162, -221.959, -240.9104, -223.8205, -232.2434, -243.1687, -226.1399, -249.6384, -244.5115, -236.8515, -221.6233, -230.5954, -226.384, -241.7344, -228.2151, -238.1028, -224.9497, -233.342, -239.6897, -245.3049, -227.269, 
0.01214, -220.4636, -235.7834, -189.7934, -245.6101, -220.3415, -248.5093, -231.4805, -227.8183, -221.6233, -228.5813, -231.7246, -449.8337, -226.4145, -230.9617, -235.2341, -196.5989, -213.9023, -228.9475, -234.5627, -231.0227, -227.2385, -232.4265, -228.4592, -228.4592, -204.7165, -235.7834, -222.7219, -216.2827, -238.7436, -238.1638, -231.3279, -231.1142, -242.0395, -241.7038, -226.384, -235.4783, -236.76, -232.6096, -223.668, -247.2275, -233.1894, -229.1306, -236.9126, -233.8913, -223.3017, 
0.01216, -232.7317, -233.1894, -198.7046, -225.0107, -226.7197, -245.7932, -237.6145, -224.4919, -225.3464, -237.3093, -227.6047, -449.6506, -220.8909, -221.9285, -226.9028, -201.207, -228.1846, -236.2717, -226.9639, -240.0254, -235.3867, -227.1164, -223.6374, -243.1382, -202.977, -229.2527, -228.3371, -230.2292, -227.6352, -225.0107, -240.3, -227.5132, -229.6494, -226.5061, -238.1028, -244.3589, -242.772, -226.384, -236.821, -241.4292, -237.6145, -225.0107, -243.9316, -234.2576, -233.4336, 
0.01218, -238.7436, -237.0652, -205.571, -236.6074, -231.4194, -234.7764, -243.718, -231.4194, -238.8352, -240.6357, -227.2385, -444.7678, -208.3786, -235.2341, -237.7671, -223.0576, -221.5012, -240.0864, -237.1567, -236.4548, -233.8913, -217.2593, -224.3699, -259.0073, -214.4211, -229.4053, -233.1284, -226.323, -222.7829, -232.4875, -240.9409, -233.1589, -231.3584, -223.7595, -248.7229, -229.2832, -232.6096, -226.2314, -247.5327, -246.4646, -237.1262, -232.6096, -233.0063, -237.3398, -233.6777, 
0.0122, -239.4761, -236.2412, -205.1438, -239.0183, -225.9873, -239.6286, -244.3894, -229.1916, -238.1638, -231.1448, -235.3562, -441.3193, -202.092, -229.4358, -241.5207, -217.656, -211.1557, -244.4199, -229.7104, -216.8015, -233.8608, -222.9966, -240.9714, -235.3562, -197.5144, -252.9343, -229.8325, -241.0325, -225.5295, -246.0679, -249.3943, -231.572, -238.0112, -225.4685, -234.0744, -224.5835, -237.2483, -239.354, -254.2771, -240.3306, -224.553, -245.8542, -238.7436, -233.281, -234.5932, 
0.01222, -232.5486, -233.7998, -215.3977, -233.5556, -237.5229, -227.6047, -225.4685, -241.7954, -239.4455, -237.0041, -234.2576, -456.9138, -218.48, -219.3955, -237.706, -214.4211, -222.2641, -232.6706, -246.1899, -218.5715, -235.7224, -236.3938, -225.5906, -231.633, -198.6741, -240.6052, -233.7082, -239.1404, -237.6145, -233.5862, -240.0254, -248.906, -232.7012, -235.112, -215.5808, -235.2341, -246.9834, -244.7861, -234.3796, -246.4951, -226.7197, -238.1943, -228.2456, -232.9148, -233.4336, 
0.01224, -234.5017, -246.8003, -211.3083, -224.675, -237.7366, -234.3491, -236.3633, -242.4363, -222.5693, -228.7034, -227.0249, -453.8925, -209.6604, -248.3262, -216.7099, -222.844, -224.7361, -224.0952, -234.6238, -233.9829, -238.6216, -236.5159, -212.3154, -226.1704, -211.522, -224.4309, -219.8533, -239.1098, -235.1426, -216.8931, -219.1819, -239.354, -224.0342, -238.8047, -226.9028, -231.572, -230.7175, -234.9595, -236.1496, -247.4411, -236.3022, -242.0395, -231.572, -224.1868, -239.4761, 
0.01226, -232.396, -228.9475, -206.5171, -233.6167, -224.7056, -233.4946, -236.0886, -223.0576, -239.3845, -226.1704, -228.154, -445.8969, -217.8696, -247.8684, -216.6489, -214.7568, -215.4892, -237.2178, -226.1399, -228.7034, -228.5202, -228.917, -222.081, -228.6423, -203.6789, -242.9551, -218.7546, -234.5932, -223.1797, -214.9399, -231.9687, -233.5862, -231.5415, -227.0554, -227.5742, -229.3747, -217.7781, -222.1116, -225.7126, -243.779, -233.1284, -229.5273, -232.7622, -237.5535, -222.2031, 
0.01228, -221.3486, -232.5486, -211.7051, -231.9077, -223.3323, -238.8657, -236.9431, -220.8298, -229.1306, -218.6326, -233.8303, -442.1738, -206.395, -238.8352, -238.2554, -213.7803, -225.6211, -236.821, -232.4265, -241.2461, -239.3235, -238.4995, -232.5791, -237.8586, -195.5613, -225.7737, -232.8537, -243.0771, -230.7175, -244.2368, -229.7104, -235.5088, -235.9055, -226.0788, -241.5207, -238.9573, -230.5344, -220.6162, -230.748, -235.4783, -246.8003, -228.3982, -241.9175, -247.2886, -217.0456, 
0.0123, -229.1611, -246.4341, -201.0849, -224.7361, -231.8161, -228.978, -226.323, -237.584, -231.1753, -234.8069, -230.5954, -454.5029, -208.6838, -231.633, -235.875, -212.1323, -230.1987, -234.5627, -251.7441, -233.0979, -226.9639, -233.8303, -235.3562, -237.0347, -205.449, -221.4707, -230.4429, -233.2505, -228.2761, -241.5513, -212.6511, -234.8984, -232.8843, -238.3469, -228.4287, -241.3376, -234.9595, -230.9311, -244.8166, -234.7153, -241.7344, -229.741, -250.2793, -233.0063, -239.0793, 
0.01232, -252.9953, -234.6238, -196.1716, -234.3491, -229.1306, -217.5339, -229.5578, -238.7436, -236.3633, -239.9643, -231.9993, -458.1955, -228.5508, -241.3987, -249.5774, -196.904, -229.039, -234.227, -237.5229, -230.3818, -224.0647, -238.0112, -216.4658, -230.9617, -225.1938, -230.8701, -226.2314, -237.7366, -239.2319, -239.3845, -245.9153, -225.8042, -242.1921, -235.2341, -230.1987, -227.6963, -227.7878, -240.7883, -234.7764, -237.7976, -236.7295, -225.1633, -234.227, -232.8537, -230.4429, 
0.01234, -235.4477, -234.4407, -213.292, -237.4924, -231.2973, -220.5552, -232.1518, -226.2925, -236.5464, -231.633, -242.772, -456.5171, -230.687, -231.2668, -227.5437, -204.4419, -213.6887, -226.5671, -226.0483, -229.7715, -237.7366, -237.2788, -233.0368, -231.6025, -231.9687, -228.4287, -236.1191, -243.2908, -232.0603, -230.1682, -256.1081, -224.0952, -236.2107, -231.633, -229.039, -232.457, -219.6702, -233.4031, -219.0903, -246.7698, -224.1562, -237.6755, -231.9687, -221.4097, -231.1753, 
0.01236, -245.0608, -240.8188, -213.353, -235.2036, -237.4619, -214.8179, -246.1899, -231.511, -230.0461, -231.8772, -238.9267, -447.9111, -218.2969, -231.1448, -239.3235, -208.104, -227.9099, -241.0019, -224.3393, -213.5666, -236.9431, -228.4592, -244.0537, -223.9121, -228.2456, -225.5906, -234.99, -231.8772, -222.5388, -225.8652, -236.2107, -232.9758, -220.0058, -238.6521, -237.2483, -230.3208, -225.8347, -237.0652, -228.5813, -240.9104, -241.948, -229.863, -231.5415, -234.6238, -238.1028, 
0.01238, -232.3655, -238.4079, -198.0027, -242.1616, -225.6211, -207.2495, -243.4739, -236.1496, -242.2837, -239.6592, -230.8091, -441.6855, -243.718, -235.5088, -232.8232, -216.1606, -228.093, -227.6047, -230.0461, -236.3327, -231.4499, -239.5371, -230.5344, -229.5884, -231.8772, -213.3225, -221.7453, -230.687, -232.3655, -238.1028, -221.6233, -239.8118, -235.0205, -236.4548, -237.1567, -230.5039, -225.7431, -235.5393, -235.5088, -241.4902, -227.4216, -237.9197, -239.5676, -240.3, -222.9966, 
0.0124, -237.2788, -241.4902, -199.1013, -229.2222, -233.0979, -212.529, -244.5725, -232.7317, -230.5039, -238.7742, -241.5207, -441.0446, -234.5322, -235.936, -236.9126, -210.2097, -220.2805, -224.4004, -232.0603, -236.7905, -235.2036, -233.3115, -225.5906, -238.1638, -235.6003, -223.3017, -211.9492, -244.3589, -233.4336, -239.1098, -236.2412, -232.1213, -239.9033, -237.2178, -225.6211, -230.1072, -228.8559, -232.9453, -238.6826, -234.0134, -233.9829, -234.105, -219.3039, -226.5976, -229.4968, 
0.01242, -234.227, -253.0259, -211.7051, -227.1164, -229.5273, -202.6413, -225.2243, -227.3301, -234.4407, -233.6777, -222.3252, -455.9983, -233.8913, -228.978, -243.8401, -204.686, -219.3345, -230.0156, -236.5159, -229.4053, -218.6326, -235.0815, -246.9529, -234.227, -233.0674, -232.4265, -235.5088, -236.4243, -239.9949, -239.1098, -248.3262, -236.8515, -236.5159, -234.0439, -234.8374, -232.5486, -238.8047, -232.6401, -234.2576, -247.1055, -226.9333, -230.8701, -238.7131, -228.6728, -230.7175, 
0.01244, -246.1594, -236.8515, -224.9192, -230.9922, -234.4407, -194.4626, -229.4968, -235.5393, -246.8003, -242.1311, -239.354, -453.2517, -229.741, -233.5556, -236.6074, -206.8528, -224.8581, -226.3535, -238.3774, -233.8913, -221.4402, -245.9763, -232.7927, -219.365, -241.7954, -242.9856, -237.6755, -238.53, -240.9104, -228.7644, -227.9709, -243.1077, -227.7878, -225.3159, -231.9993, -224.0647, -228.6423, -225.6516, -231.6941, -245.9153, -228.7339, -227.1164, -228.7949, -242.1311, -234.6848, 
0.01246, -236.6684, -222.7219, -206.0593, -239.5981, -233.3115, -209.3247, -244.4199, -243.8706, -229.802, -245.0303, -241.6733, -445.7749, -241.7344, -230.4734, -237.3093, -215.6723, -237.0041, -244.1452, -225.8652, -240.8188, -233.9524, -233.2505, -227.1775, -231.2973, -229.863, -234.5627, -231.8772, -231.572, -234.4101, -228.5202, -230.3818, -244.603, -247.136, -231.0532, -223.1492, -238.2859, -237.3703, -216.3132, -238.1028, -229.5884, -239.6897, -236.5464, -229.2527, -213.4751, -237.9197, 
0.01248, -228.3066, -229.1916, -193.2419, -239.6897, -221.135, -203.862, -224.7361, -242.1616, -232.1518, -231.4499, -245.6711, -452.3056, -238.9267, -239.5371, -234.5627, -209.7825, -238.1943, -241.7038, -236.8515, -234.3796, -232.7622, -218.9682, -242.2837, -227.6352, -217.0456, -244.1452, -236.7295, -244.0537, -226.1704, -245.5796, -242.3447, -229.2832, -227.208, -236.5769, -227.208, -240.178, -228.1235, -234.7764, -232.8843, -232.1518, -229.8935, -246.9834, -249.2417, -235.8445, -234.3186, 
0.0125, -235.6919, -241.4902, -192.5095, -251.6221, -237.4314, -203.7705, -240.9714, -224.3088, -231.6025, -236.3938, -236.6684, -444.7678, -226.9639, -241.1545, -228.5508, -214.6958, -239.5981, -214.5127, -229.6189, -240.7578, -227.2385, -226.7197, -243.1077, -212.8342, -225.7431, -248.8755, -220.9519, -245.8848, -223.8816, -232.2434, -248.2346, -224.614, -226.8113, -233.5556, -224.675, -233.0674, -235.9665, -223.5154, -228.3066, -247.0444, -236.4243, -225.3464, -241.2766, -232.5181, -232.1213, 
0.01252, -246.4341, -244.542, -200.3525, -230.4123, -220.9519, -215.947, -245.6406, -219.5481, -235.7834, -237.7366, -225.0718, -455.7541, -233.7693, -251.2864, -236.3022, -215.4282, -235.5088, -214.238, -231.0837, -234.6848, -218.2663, -222.02, -228.8865, -232.5181, -224.4004, -225.438, -225.3464, -230.8091, -230.3513, -227.6047, -229.741, -223.3628, -245.8237, -232.5791, -212.3459, -229.6799, -237.7671, -222.4473, -236.4853, -244.542, -240.7578, -220.6467, -214.3296, -224.614, -219.6396, 
0.01254, -234.2881, -234.166, -201.9394, -220.4941, -221.6233, -228.5202, -228.5508, -227.1775, -225.5295, -211.0947, -231.8467, -447.5754, -226.2314, -241.9785, -241.3681, -206.1203, -230.2903, -236.821, -234.5932, -239.7507, -235.8445, -220.0974, -233.8913, -234.3491, -223.0576, -227.0859, -236.9736, -233.0674, -242.7414, -228.6118, -233.5862, -231.5415, -239.7202, -240.0254, -234.7153, -234.3491, -235.936, -227.3606, -249.9436, -236.4243, -239.293, -223.2407, -232.7317, -237.8586, -233.1589, 
0.01256, -225.8957, -237.7976, -215.6113, -241.9785, -228.8254, -220.1889, -230.626, -231.2363, -219.7312, -238.591, -236.7905, -444.188, -224.4004, -228.3982, -238.7742, -203.8315, -226.5671, -235.3867, -228.4287, -223.8205, -221.7759, -231.7551, -230.8396, -230.748, -230.4123, -226.2314, -227.2995, -223.4543, -227.6047, -226.5671, -232.5181, -231.2363, -233.7082, -251.8967, -244.664, -233.1894, -247.9294, -234.9595, -237.7671, -233.22, -232.396, -239.0183, -217.4424, -249.5163, -219.5481, 
0.01258, -230.0461, -220.6772, -234.1355, -221.6233, -239.5981, -226.4756, -237.1262, -230.2292, -236.3327, -244.7861, -234.6848, -458.5923, -249.3332, -233.6777, -229.802, -216.1606, -234.227, -228.4897, -231.0837, -220.7688, -213.4751, -242.4057, -236.4853, -234.9595, -231.6025, -225.0107, -232.2739, -227.8489, -231.1753, -238.4995, -225.2243, -231.4805, -235.2952, -239.9338, -235.1731, -227.8489, -248.5093, -236.9431, -238.6216, -247.5937, -226.2925, -238.3774, -241.0935, -231.9993, -231.0837, 
0.0126, -233.7693, -235.875, -228.9475, -237.1262, -241.948, -235.936, -231.2668, -216.8625, -236.3938, -230.1682, -236.7905, -446.5683, -237.0041, -243.1687, -237.3398, -215.886, -234.8069, -226.6587, -237.3093, -222.3557, -217.5644, -243.1382, -246.373, -243.8706, -214.9399, -225.1023, -246.2815, -242.894, -231.6941, -235.4477, -214.8179, -228.6423, -235.2341, -229.5273, -228.0014, -230.5039, -224.4309, -234.166, -241.948, -254.0024, -239.5371, -240.1169, -236.9736, -225.4075, -234.6543, 
0.01262, -238.0112, -228.8865, -208.5618, -244.7251, -241.8259, -238.1028, -247.9294, -235.4172, -227.0554, -230.687, -224.0647, -440.3733, -228.4897, -225.8347, -229.8325, -208.3176, -242.9551, -242.9856, -238.9878, -220.7993, -231.572, -229.802, -233.4641, -229.4053, -216.771, -234.99, -234.6543, -228.154, -241.8564, -240.8188, -233.281, -243.2297, -233.342, -236.5464, -235.1731, -231.2668, -234.7764, -221.4707, -244.0842, -248.1736, -235.6003, -226.7197, -224.3088, -225.8957, -236.3022, 
0.01264, -247.1055, -241.2461, -205.7236, -239.293, -236.8515, -214.4516, -241.8564, -236.3938, -236.3327, -245.6406, -231.1448, -448.7656, -235.3257, -229.039, -235.4783, -205.9983, -241.1545, -229.802, -231.0227, -215.0315, -217.4424, -237.2483, -234.7458, -211.3389, -210.9421, -237.3093, -234.3491, -233.342, -235.3562, -241.8564, -237.0347, -245.5185, -225.7431, -230.1072, -240.3916, -229.863, -236.1496, -238.53, -239.3235, -250.5845, -228.154, -229.863, -232.2129, -232.7622, -243.5959, 
0.01266, -229.5884, -228.4287, -213.3225, -232.2434, -234.2576, -231.3584, -231.0227, -230.0766, -237.1567, -229.8935, -240.178, -462.7426, -231.3279, -234.3491, -232.7012, -205.1133, -218.7851, -224.8887, -231.3279, -226.5366, -217.3508, -229.3137, -228.6118, -228.7339, -204.7471, -236.2717, -225.8957, -236.699, -247.6243, -226.4756, -238.1333, -228.5813, -236.3022, -235.9055, -236.8515, -228.8254, -232.0298, -236.6684, -235.6919, -233.342, -233.5862, -243.1382, -231.8161, -230.8701, -237.7976, 
0.01268, -223.6985, -254.9485, -219.1819, -236.4243, -244.7861, -242.833, -237.9502, -224.8581, -238.2554, -231.6025, -236.4243, -459.3857, -230.5954, -241.8259, -237.3093, -204.7776, -241.7038, -225.6821, -230.0461, -234.2881, -229.3747, -225.1938, -237.3093, -241.0935, -208.3786, -234.3186, -205.7541, -220.9519, -239.7202, -229.741, -244.2063, -227.6352, -249.852, -239.5981, -229.863, -221.3791, -239.0183, -225.1328, -232.5181, -248.4177, -235.0815, -240.2085, -235.2036, -227.1775, -221.5012, 
0.0127, -243.8706, -250.2793, -215.886, -231.1142, -231.633, -237.0957, -240.8799, -234.7458, -226.3535, -244.6335, -233.7693, -451.6037, -236.6379, -228.8254, -231.6941, -221.2265, -222.1726, -231.1142, -237.0041, -232.2434, -220.5857, -228.1235, -219.8533, -226.7502, -209.0195, -235.7529, -233.3725, -233.6167, -245.3354, -231.8772, -221.3486, -234.8069, -230.1377, -238.6826, -222.9966, -234.5627, -235.112, -237.3703, -234.2881, -259.0073, -230.9311, -226.8418, -245.7322, -233.7388, -221.0129, 
0.01272, -246.5867, -238.8352, -204.7776, -220.4331, -222.0505, -221.8979, -240.5747, -232.6401, -232.9453, -233.22, -242.1311, -456.4255, -226.9028, -232.9148, -245.6406, -213.2615, -226.8113, -242.4973, -240.0559, -239.7812, -219.0903, -235.051, -236.76, -231.6941, -201.1155, -234.5932, -239.9338, -238.8657, -235.6308, -236.0581, -223.4848, -243.3823, -218.7851, -235.4783, -228.5508, -235.9665, -240.3306, -236.5769, -241.063, -243.6875, -231.1753, -226.3535, -238.3469, -236.2717, -235.9055, 
