Sweep Start (s), 52.00926, 52.1731, 52.33694, 52.50078, 52.66462, 52.82846, 52.9923, 53.15614, 53.31998, 53.48382, 53.64766, 53.8115, 53.97534, 54.13918, 54.30302, 54.46686, 54.6307, 54.79454, 54.95838, 55.12222, 55.28606, 55.4499, 55.61374, 55.77758, 55.94142, 56.10526, 56.2691, 56.43294, 56.59678, 56.76062, 56.92446, 57.0883, 57.25214, 57.41598, 57.57982, 57.74366, 57.9075, 58.07134, 58.23518, 58.39902, 58.56286, 58.7267, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, Sweep #32, Sweep #33, Sweep #34, Sweep #35, Sweep #36, Sweep #37, Sweep #38, Sweep #39, Sweep #40, Sweep #41, Sweep #42, 
0.01568, -445.6833, -230.9922, -245.8237, -237.3093, -235.0205, -244.0537, -226.9944, -447.8195, -237.9197, -225.1023, -241.7038, -233.342, -233.3115, -224.3088, -244.6946, -460.8811, -257.2068, -458.8669, -226.1094, -241.948, -230.2292, -244.2978, -242.009, -240.0864, -233.9524, -239.5676, -233.0063, -240.7273, -228.7949, -232.5791, -194.1269, -228.0014, -230.3513, -229.1001, -230.9617, -244.9387, -233.281, -228.7644, -234.0439, -234.8984, -239.7202, -211.3694, 
0.0157, -454.1672, -219.0598, -246.9834, -239.2624, -244.1758, -238.0723, -222.1726, -455.8762, -243.4739, -225.9873, -247.136, -230.748, -225.8042, -230.1072, -241.3987, -448.7656, -262.1811, -466.4048, -217.3813, -246.1594, -225.9568, -243.5044, -244.2063, -234.6238, -237.6145, -233.8608, -241.5207, -226.6892, -236.0276, -233.1589, -200.5661, -244.1758, -242.3752, -230.9006, -227.5132, -246.7392, -217.4118, -240.5747, -239.1709, -232.457, -227.3301, -231.9077, 
0.01572, -461.644, -212.8342, -235.1426, -217.5644, -240.4526, -211.7966, -220.8603, -460.0571, -228.5202, -239.8423, -242.9245, -221.196, -236.1802, -233.0063, -244.2978, -455.6015, -272.1909, -450.9629, -222.8745, -239.5066, -238.3774, -240.9104, -242.4057, -242.9245, -234.1965, -242.6499, -240.7578, -235.0815, -234.3796, -231.1142, -203.5569, -247.4106, -234.2576, -241.185, -227.7878, -231.7246, -207.7378, -234.2881, -234.5017, -243.3518, -224.9192, -208.8974, 
0.01574, -469.1208, -211.5525, -227.0554, -232.7012, -236.7295, -208.3481, -217.2898, -449.2234, -234.6543, -249.3943, -242.2226, -226.4451, -230.4429, -237.1262, -253.9109, -459.4773, -263.5849, -442.8452, -244.2978, -222.4778, -231.8467, -222.966, -246.8003, -231.5415, -233.5862, -240.0254, -240.2695, -237.5535, -242.2837, -244.0842, -197.3923, -240.5137, -232.3655, -241.063, -229.1306, -228.8865, -204.625, -225.4075, -234.8679, -220.2195, -227.4827, -212.9563, 
0.01576, -450.1694, -213.1089, -227.1164, -237.0041, -225.499, -207.9209, -240.3611, -446.2632, -237.2483, -225.1938, -229.039, -235.4477, -236.1496, -235.1426, -257.1762, -465.0925, -282.9636, -458.1345, -244.8472, -225.1328, -225.5906, -232.4265, -238.3164, -223.9121, -242.0395, -233.22, -220.6467, -235.6919, -235.7224, -225.6821, -208.5618, -241.2156, -233.7693, -227.4521, -221.3181, -239.7507, -219.5176, -245.0303, -235.3562, -236.3022, -234.0134, -199.0098, 
0.01578, -446.5988, -215.3367, -246.4951, -239.0183, -229.2527, -203.9231, -232.457, -459.05, -233.0979, -233.0674, -235.8139, -239.9643, -233.0063, -228.978, -255.4673, -457.1884, -270.9397, -458.1345, -225.1938, -236.3327, -233.8608, -239.0183, -237.645, -239.354, -241.2461, -227.147, -229.7715, -229.5273, -229.8935, -234.7153, -213.353, -244.0537, -237.706, -225.2549, -224.5224, -244.2368, -210.0571, -225.8957, -242.6804, -241.8259, -228.8559, -194.4016, 
0.0158, -458.9279, -223.3323, -240.2085, -240.6662, -239.2014, -214.9094, -226.6892, -461.0031, -249.1196, -240.8493, -244.5725, -239.5066, -217.3508, -241.9175, -253.0869, -457.6462, -280.6137, -458.0429, -234.3796, -234.2881, -230.9617, -216.6184, -232.4265, -251.3169, -221.959, -235.0205, -233.4336, -229.2527, -244.4199, -242.8635, -222.9355, -249.3027, -230.8091, -214.7873, -224.2478, -231.3279, -209.8435, -242.5278, -235.4172, -245.5185, -237.4009, -185.4294, 
0.01582, -454.4113, -222.02, -233.8303, -252.9343, -226.7197, -218.2969, -227.8183, -459.0195, -235.0205, -239.0793, -229.0085, -236.821, -241.1545, -240.2085, -241.0325, -457.6767, -273.7473, -448.4604, -236.5159, -226.8723, -250.3098, -222.8745, -244.9692, -228.6118, -242.9245, -240.9714, -224.2173, -232.0298, -240.4526, -233.6167, -225.8347, -243.8706, -240.3306, -218.8767, -237.4314, -238.2859, -221.8369, -245.7932, -229.6189, -238.8047, -244.3589, -182.927, 
0.01584, -459.3552, -221.2571, -236.3938, -243.5959, -228.9475, -207.9514, -230.9311, -453.3737, -247.3801, -238.3164, -232.5486, -225.3464, -236.0581, -232.2739, -249.7605, -458.5312, -273.4726, -445.1035, -238.3164, -246.8613, -242.4057, -233.4336, -238.4385, -236.4548, -248.4482, -238.0112, -231.633, -227.1164, -229.9241, -227.3301, -220.1584, -244.4199, -234.8374, -228.917, -234.1965, -236.1191, -224.8887, -235.2341, -236.0581, -223.1186, -226.6282, -197.3313, 
0.01586, -456.4865, -219.6396, -231.4805, -233.3725, -227.8794, -196.8125, -229.802, -449.6811, -240.4831, -230.1377, -230.6565, -238.2554, -238.6826, -219.3345, -251.3474, -461.0031, -279.7898, -461.7356, -234.5017, -243.8706, -238.2859, -230.3818, -240.5442, -249.3332, -240.3916, -233.0979, -236.76, -235.8139, -232.3044, -233.1284, -216.2217, -221.1045, -226.5671, -235.3867, -226.9944, -232.7012, -211.5525, -240.3611, -237.1872, -233.4336, -224.9497, -194.31, 
0.01588, -457.9819, -230.9311, -222.4778, -239.3845, -218.5715, -200.8103, -234.5932, -456.9443, -234.2576, -236.4853, -225.9568, -239.9338, -240.2085, -226.8723, -248.9975, -461.6745, -260.4111, -454.7776, -230.1682, -223.8511, -228.2761, -226.3535, -229.2222, -234.1355, -232.2434, -227.4827, -242.0395, -229.039, -253.4531, -245.0913, -208.3481, -228.9475, -237.5535, -220.25, -236.6379, -232.0908, -215.4587, -241.0935, -220.6162, -231.3584, -229.1001, -194.7983, 
0.0159, -450.2915, -223.0881, -238.1943, -241.185, -232.5486, -194.7373, -226.7807, -452.2751, -234.166, -244.5725, -209.1721, -225.4685, -242.4363, -218.3884, -247.5937, -442.0212, -277.623, -449.3149, -225.9568, -235.6614, -230.2292, -222.2947, -220.9824, -238.5605, -226.3535, -236.6074, -237.3398, -235.6308, -239.3235, -239.5676, -213.0784, -241.5207, -236.8821, -224.5224, -227.9709, -239.9949, -211.7966, -246.6782, -226.7502, -234.2881, -233.5862, -191.7771, 
0.01592, -450.4746, -208.5923, -231.7856, -240.3916, -226.3535, -198.5825, -226.6587, -448.1247, -235.6308, -237.5229, -218.1138, -222.7219, -226.7197, -218.7546, -243.4128, -448.1552, -276.8601, -446.1411, -227.5437, -240.3306, -227.1775, -232.1518, -239.2624, -236.3327, -232.0298, -236.7295, -252.0798, -252.6902, -228.5202, -221.9895, -206.4255, -226.6587, -229.7104, -246.8613, -224.5835, -240.1169, -219.9448, -236.9736, -232.4875, -229.0085, -227.3606, -182.3472, 
0.01594, -456.6391, -210.5454, -231.4194, -228.5813, -236.0276, -214.0244, -236.1496, -454.747, -234.5322, -232.2129, -207.6157, -231.0227, -231.6941, -204.7165, -252.0798, -456.6696, -291.3864, -462.9868, -234.227, -231.3584, -229.6799, -246.8918, -235.0205, -227.3911, -233.2505, -237.3398, -226.7502, -242.7109, -238.4079, -212.8037, -225.7737, -211.6745, -222.844, -245.4575, -231.5415, -230.5954, -230.4429, -240.9409, -227.9099, -235.2646, -237.4924, -194.5847, 
0.01596, -458.7448, -215.001, -236.6074, -241.3376, -235.875, -214.2991, -237.7366, -455.8152, -239.0183, -232.1213, -205.8457, -231.3889, -234.8374, -212.2544, -246.9529, -451.4511, -288.884, -448.613, -234.2881, -228.2761, -243.5959, -239.4761, -227.7573, -225.6821, -241.9785, -238.7436, -227.6658, -218.7546, -236.2412, -221.6233, -234.1965, -233.0674, -233.9219, -236.6684, -233.7388, -229.1306, -216.4963, -230.4429, -228.4897, -234.8984, -231.2058, -186.4975, 
0.01598, -461.6745, -210.9421, -228.978, -247.5937, -235.112, -214.5432, -231.9993, -449.4065, -233.3725, -235.051, -221.7148, -236.8515, -232.1824, -210.698, -233.22, -458.0124, -283.7265, -465.1535, -246.8003, -233.9219, -241.5513, -226.6587, -240.9714, -238.8657, -236.1802, -238.1638, -232.8537, -224.5224, -234.0134, -240.178, -225.6516, -231.9382, -236.9431, -224.3088, -233.1284, -238.0417, -208.8059, -243.0771, -229.6494, -226.7807, -241.0935, -191.8076, 
0.016, -459.3247, -213.1394, -237.2483, -225.6211, -242.8635, -201.7868, -238.1028, -454.5945, -235.6614, -227.6352, -208.043, -230.5649, -234.5322, -207.0054, -236.4243, -449.0097, -276.3718, -449.2539, -239.2014, -244.3894, -228.3982, -226.5366, -228.2151, -234.3186, -225.2549, -234.7458, -239.354, -236.3022, -240.178, -230.1072, -226.5366, -224.3393, -244.1147, -237.8586, -235.112, -244.2978, -199.9558, -246.1289, -219.5176, -229.8325, -238.2554, -206.7002, 
0.01602, -459.5993, -203.0076, -244.5115, -247.3191, -235.6614, -197.2092, -244.8777, -454.9912, -242.0395, -237.4619, -217.2898, -238.2248, -238.7436, -226.9944, -237.4924, -459.6909, -289.2807, -447.9721, -228.2151, -232.7927, -235.3257, -226.6587, -228.154, -236.821, -240.6052, -243.1077, -243.9621, -232.6706, -247.5632, -236.2412, -233.4946, -235.5393, -238.1943, -234.0439, -208.989, -239.9033, -189.8545, -232.0603, -241.185, -243.8706, -235.936, -206.0288, 
0.01604, -449.6811, -208.4092, -228.3066, -245.4575, -242.2837, -205.0217, -233.22, -463.5056, -236.8821, -250.615, -214.4211, -233.7998, -237.2788, -211.1863, -252.5681, -450.2304, -289.5554, -463.2614, -233.5556, -227.2995, -245.5185, -242.1311, -232.7317, -234.8984, -247.258, -242.2837, -227.7878, -237.9502, -240.3306, -237.6755, -230.0461, -243.8706, -239.3235, -222.7524, -225.2854, -235.2646, -198.3384, -242.7414, -231.0837, -226.5976, -237.5535, -215.1841, 
0.01606, -469.6091, -211.9492, -238.5605, -230.5649, -238.1028, -216.2522, -227.6047, -464.5432, -239.7202, -244.9082, -228.7949, -227.9709, -238.4385, -211.4609, -252.6291, -454.0451, -273.6252, -462.6816, -235.3867, -226.2619, -258.8547, -251.6831, -227.3301, -241.7954, -239.8118, -229.863, -235.5698, -227.8794, -246.8003, -238.5605, -226.8113, -239.5981, -238.8047, -229.2832, -225.3159, -258.6716, -199.2844, -239.9338, -221.6538, -232.5181, -244.1758, -220.4331, 
0.01608, -470.6772, -210.5759, -238.2554, -238.2859, -239.9338, -216.6489, -234.8984, -450.8408, -228.8559, -239.9643, -232.9453, -233.7998, -241.185, -209.7214, -239.415, -449.7422, -260.1975, -457.1884, -234.2576, -231.3889, -246.0679, -237.8281, -222.7829, -236.4243, -243.3518, -241.5513, -209.5383, -230.626, -232.3044, -236.1802, -217.5644, -236.3327, -230.3818, -232.3349, -224.0952, -256.1386, -195.958, -239.0793, -237.6145, -241.8259, -234.2881, -217.2287, 
0.0161, -453.862, -197.8501, -230.0156, -238.7131, -232.6096, -214.8789, -240.6357, -463.353, -230.3208, -229.6799, -228.8559, -232.0908, -243.5044, -221.4707, -236.2412, -457.1579, -273.7473, -450.0473, -230.6565, -239.9643, -241.948, -228.3371, -239.3235, -239.6592, -229.7715, -245.3354, -205.3269, -237.2788, -237.1872, -227.9099, -213.5972, -229.9851, -224.0647, -236.2412, -215.3367, -234.2881, -186.5891, -243.5349, -231.4499, -226.6892, -223.8511, -198.9487, 
0.01612, -454.5639, -194.0049, -229.9241, -238.3469, -230.1377, -229.4663, -225.499, -459.7214, -231.511, -226.1704, -229.863, -227.4521, -238.469, -213.5972, -247.4717, -449.8947, -285.8322, -452.916, -228.093, -218.8462, -239.0793, -237.8891, -239.3845, -231.4499, -226.5976, -247.5937, -206.3035, -240.6968, -237.4619, -240.6662, -212.5901, -237.9807, -243.5654, -227.2995, -237.8281, -241.7038, -192.4485, -233.5556, -228.6728, -232.5791, -223.8511, -202.3056, 
0.01614, -456.0288, -203.2212, -237.3703, -231.4194, -224.8887, -199.2234, -223.4848, -457.5852, -228.4592, -246.8308, -227.8489, -234.7458, -239.9643, -208.043, -255.8335, -440.7395, -276.2192, -449.8032, -237.2788, -215.5503, -230.3208, -228.032, -238.1638, -244.9387, -240.2695, -234.2576, -208.8059, -249.3943, -233.22, -241.9785, -199.8337, -241.8869, -252.2019, -230.4429, -227.7573, -226.5366, -197.4228, -214.0549, -239.0183, -220.0669, -236.699, -207.1274, 
0.01616, -448.2163, -195.7444, -241.063, -231.8467, -227.6963, -202.1531, -231.4499, -463.8718, -212.9258, -238.8657, -215.4892, -235.2036, -229.5273, -222.966, -250.4929, -450.8103, -275.4258, -458.226, -240.5137, -230.5954, -231.633, -225.3464, -233.5556, -237.4924, -243.2908, -224.6445, -213.9023, -238.8657, -236.4853, -236.2412, -191.2888, -236.9431, -236.4853, -236.1191, -222.1726, -227.4827, -204.9912, -229.8935, -230.3208, -241.6733, -223.2407, -195.5918, 
0.01618, -470.1889, -201.0849, -252.3545, -225.1938, -239.3845, -226.4451, -228.154, -451.207, -229.1611, -235.2036, -229.3442, -230.0156, -238.6826, -201.146, -228.1235, -450.4746, -277.2263, -471.8674, -227.0249, -226.5976, -235.4783, -209.813, -243.9621, -240.0864, -231.9687, -234.3796, -219.0598, -239.4455, -226.7807, -234.2576, -191.4414, -221.6538, -232.5486, -222.2947, -222.966, -241.5207, -207.4326, -243.8706, -205.5405, -244.3589, -220.5552, -208.7449, 
0.0162, -464.299, -211.3083, -242.1311, -248.3872, -233.2505, -217.4729, -225.7126, -445.073, -246.9223, -226.4756, -212.5901, -226.8723, -245.2134, -194.0659, -214.4822, -453.0991, -266.2094, -457.6462, -240.9714, -228.1235, -231.6941, -212.2239, -231.633, -252.1714, -227.2995, -238.8047, -213.5972, -239.9643, -232.9453, -245.7627, -203.74, -224.553, -208.5618, -232.7317, -223.729, -236.8515, -200.5967, -227.3606, -217.5339, -230.2598, -241.6428, -213.6277, 
0.01622, -454.8996, -210.3318, -238.6216, -238.3164, -242.5583, -217.4424, -233.1589, -459.05, -240.7578, -238.4079, -200.6882, -227.3911, -230.2292, -213.1394, -224.7056, -455.1743, -273.4116, -458.3786, -231.1448, -239.354, -237.5535, -206.4866, -233.3725, -240.3306, -215.9165, -244.603, -197.6365, -236.0276, -232.7317, -228.8865, -199.3454, -232.3044, -228.6423, -238.6521, -225.0412, -246.0373, -210.759, -234.5322, -218.5105, -233.342, -230.1987, -211.4609, 
0.01624, -458.226, -199.1013, -232.8232, -242.0395, -232.6706, -211.644, -236.9431, -457.7683, -230.0461, -236.6379, -216.8625, -210.8506, -234.6238, -202.4582, -229.0085, -456.6391, -284.6115, -450.5051, -231.0837, -230.0461, -230.1377, -205.0827, -236.7905, -223.3933, -236.4853, -231.8467, -195.9275, -235.3257, -221.3486, -234.2576, -206.4866, -245.1218, -243.4128, -235.4783, -225.2549, -239.5981, -201.8479, -249.5163, -208.3176, -230.9006, -235.9971, -215.8555, 
0.01626, -456.334, -195.5613, -228.3677, -227.208, -228.032, -202.6719, -226.6282, -468.6325, -233.7082, -220.1584, -212.1933, -206.456, -231.3889, -207.7988, -228.5813, -451.6342, -280.8884, -457.219, -237.7671, -225.8042, -236.3633, -206.1203, -233.4336, -244.2978, -249.1806, -234.4712, -216.9846, -232.9148, -232.8537, -244.664, -193.6387, -243.7485, -223.1492, -235.051, -203.6484, -231.572, -196.8735, -248.1431, -228.6728, -224.9192, -242.5889, -217.1982, 
0.01628, -459.6604, -192.4485, -240.9714, -224.614, -235.6614, -214.6653, -226.0178, -466.893, -249.7605, -225.0412, -210.8811, -212.2849, -231.2973, -222.5083, -238.9878, -454.2282, -289.7385, -456.0898, -228.3066, -226.8723, -240.9409, -216.2827, -240.0559, -236.8821, -232.2129, -248.5093, -217.3203, -228.2151, -229.3442, -235.4477, -206.1203, -239.2319, -227.2995, -228.5508, -204.0146, -222.02, -211.9797, -236.9126, -236.8515, -225.9263, -236.4548, -210.3318, 
0.0163, -465.8554, -192.0517, -231.0227, -234.6238, -242.1311, -216.0691, -232.4265, -460.2402, -237.6755, -227.5742, -212.8952, -213.6582, -230.4429, -215.5808, -246.7392, -459.3247, -277.1653, -454.4419, -241.8869, -230.4123, -236.7295, -204.2588, -246.3425, -241.063, -247.5022, -243.8096, -213.7192, -237.3093, -242.0701, -224.4004, -204.7776, -227.7268, -235.8139, -227.208, -208.6533, -237.8891, -214.7568, -232.9453, -212.1323, -240.5442, -232.4875, -210.2707, 
0.01632, -465.062, -197.9722, -223.1492, -227.9099, -235.875, -211.7051, -226.6892, -455.4489, -236.2717, -225.4075, -212.0102, -220.1279, -230.8091, -211.9797, -250.8286, -449.8642, -268.5288, -466.8015, -238.7131, -237.7976, -231.511, -183.0796, -238.5605, -229.5273, -236.8821, -233.0979, -215.2146, -244.9692, -230.3208, -241.3071, -208.2871, -231.1142, -233.9524, -234.7153, -211.9187, -236.3327, -206.2424, -237.7671, -209.05, -244.8472, -229.4663, -204.8996, 
0.01634, -445.0119, -214.6958, -227.9404, -235.5698, -233.281, -199.0098, -221.7148, -452.5803, -240.9104, -243.1077, -201.2375, -207.7988, -239.293, -212.5901, -254.7959, -447.789, -257.8476, -464.5737, -237.8586, -234.5627, -236.0581, -195.6833, -236.5464, -233.9829, -233.2505, -226.6282, -222.1421, -237.5229, -222.6914, -236.3633, -206.7917, -240.4526, -235.2036, -229.1001, -203.4348, -232.3655, -199.498, -226.4756, -215.3672, -245.2134, -240.5442, -222.5998, 
0.01636, -444.7068, -209.9656, -227.3301, -236.4243, -240.178, -202.092, -225.2243, -464.7263, -232.3655, -247.4717, -202.7024, -215.1535, -232.0603, -213.414, -247.3191, -462.6511, -273.1674, -456.5781, -243.6264, -237.0347, -236.3938, -192.7231, -238.1943, -230.9311, -232.9148, -235.2646, -220.0974, -221.7759, -235.9665, -239.354, -208.0735, -231.1753, -238.5605, -226.0788, -222.02, -234.6848, -211.7661, -232.3349, -215.7944, -242.9245, -245.5796, -221.5012, 
0.01638, -461.0947, -187.9624, -236.0276, -236.3327, -232.0908, -223.3933, -219.3345, -470.2805, -230.7785, -245.1523, -209.2331, -214.8484, -238.5605, -199.6201, -233.7388, -454.0757, -265.1108, -448.1247, -233.4336, -234.5932, -238.4385, -197.0261, -228.1235, -227.5437, -230.5039, -242.8025, -230.3208, -235.6919, -235.9665, -234.6543, -207.8598, -237.8586, -235.3867, -236.0886, -224.1257, -238.8047, -211.0337, -231.4194, -203.8926, -231.2973, -233.7082, -213.0478, 
0.0164, -450.9629, -217.2287, -226.1399, -232.9758, -241.2461, -205.0827, -243.9011, -458.7448, -236.8515, -247.1665, -205.6015, -216.5574, -245.1828, -213.7192, -235.112, -454.6555, -273.8083, -453.0381, -231.7551, -219.7617, -241.8259, -200.0473, -241.4292, -247.0139, -224.2478, -238.3774, -244.4199, -232.3349, -239.3845, -227.0554, -183.3848, -237.3398, -229.8325, -224.4004, -196.5683, -247.136, -216.5879, -232.0603, -217.4729, -237.4619, -242.9245, -221.7453, 
0.01642, -457.2495, -204.5945, -242.9551, -231.3279, -228.3982, -198.8266, -230.5649, -453.74, -237.1567, -240.8799, -201.6648, -222.4473, -237.1262, -224.9497, -241.3681, -455.7236, -264.2868, -462.8952, -226.5671, -232.5486, -228.6118, -199.8642, -239.8118, -244.8777, -225.9263, -233.5251, -239.5981, -232.396, -234.227, -250.0046, -192.3874, -237.7976, -233.0368, -230.0461, -201.1765, -242.1616, -204.5639, -247.3191, -202.8855, -222.9355, -237.0957, -219.3039, 
0.01644, -458.2871, -202.1531, -244.7556, -210.7895, -228.4897, -206.5781, -237.1872, -450.1694, -231.8467, -229.4053, -213.353, -230.5954, -228.8559, -198.2468, -241.7649, -447.2702, -265.5686, -461.4609, -239.5371, -242.8025, -230.8701, -206.0898, -227.6658, -238.0417, -233.342, -241.0019, -239.0488, -232.4875, -232.5791, -246.8003, -209.7825, -241.0019, -235.6919, -232.1824, -207.8904, -230.1987, -207.3105, -241.5513, -199.7117, -237.584, -236.5159, -215.2451, 
0.01646, -451.6037, -211.0642, -232.1518, -214.8179, -252.8428, -196.7209, -226.323, -455.1133, -236.8821, -237.2178, -216.1301, -226.4756, -243.0771, -210.8201, -220.25, -458.5007, -275.8835, -458.5923, -237.6755, -238.3469, -224.6445, -209.874, -238.7436, -224.1868, -245.2439, -235.9665, -237.706, -237.7976, -243.718, -233.9829, -215.6113, -243.9011, -228.917, -231.7246, -207.219, -229.3747, -200.1389, -242.5583, -207.1274, -245.366, -239.4455, -220.7077, 
0.01648, -458.5312, -200.2915, -225.3159, -219.7922, -231.7246, -222.081, -228.6118, -465.1841, -241.5207, -221.5928, -207.0054, -226.9639, -243.0161, -211.2473, -214.4211, -459.2942, -280.2475, -458.8974, -228.6728, -229.1306, -231.0837, -214.8179, -233.8303, -218.9682, -233.6472, -232.5181, -241.0325, -229.6494, -252.2019, -241.948, -207.4936, -225.0107, -233.3725, -222.5693, -199.0708, -234.5322, -210.6064, -244.6335, -211.7966, -239.415, -225.1328, -209.874, 
0.0165, -446.4463, -207.1274, -237.4314, -215.9775, -229.3442, -234.1355, -238.1028, -458.165, -225.9263, -227.3606, -202.2141, -231.0227, -231.1448, -205.571, -213.8413, -452.916, -280.6748, -459.7519, -234.3491, -245.2134, -239.6286, -216.2217, -232.1213, -237.584, -246.0373, -232.2434, -244.4504, -241.124, -222.9966, -235.3257, -209.3552, -237.2178, -230.5344, -231.8161, -210.5759, -244.8777, -219.1819, -233.7082, -211.583, -233.3115, -233.7082, -209.874, 
0.01652, -450.0473, -214.7873, -230.8091, -205.3574, -220.3721, -236.4853, -235.7529, -455.0217, -237.4314, -238.6216, -211.522, -226.9944, -219.9753, -213.3225, -202.8244, -460.9421, -268.5898, -458.3786, -236.9126, -242.1616, -233.5862, -207.6157, -246.5561, -235.4783, -229.7715, -242.0395, -216.7405, -238.6521, -224.9497, -236.699, -209.7214, -238.4079, -222.8135, -217.0456, -212.7732, -233.22, -206.456, -234.105, -216.771, -218.5105, -238.1028, -205.7541, 
0.01654, -450.6882, -220.0364, -245.1218, -209.7825, -229.863, -225.7431, -231.5415, -459.3247, -237.6145, -244.0537, -220.7993, -225.7737, -228.7949, -200.9324, -200.4746, -454.1367, -271.3059, -450.8103, -230.687, -224.0342, -230.1377, -208.1955, -245.3354, -243.0771, -232.6706, -239.8728, -209.6604, -235.6919, -236.7905, -239.8423, -208.5923, -215.5808, -229.4968, -239.1404, -211.4304, -235.5393, -215.1841, -228.7034, -232.8537, -220.1584, -231.7246, -204.9912, 
0.01656, -456.2119, -213.6887, -239.6897, -211.9797, -238.8962, -238.2248, -234.6848, -447.0261, -234.99, -232.5486, -215.123, -231.6025, -242.9856, -199.5896, -213.7803, -446.2632, -276.9211, -449.0403, -228.0625, -231.0837, -231.0227, -223.7595, -239.7507, -234.3796, -237.6145, -233.6777, -209.7519, -237.8586, -244.6335, -230.3818, -202.092, -203.0686, -221.4402, -234.4407, -201.6343, -230.9311, -205.6931, -216.0386, -241.6428, -232.7317, -226.3535, -217.5644, 
0.01658, -452.6108, -209.0195, -224.8581, -219.8533, -231.4194, -235.6308, -229.2222, -463.6887, -240.2695, -246.8918, -216.2827, -226.0788, -238.8962, -203.4043, -229.741, -449.3759, -265.2634, -459.4162, -228.978, -229.8935, -232.2434, -234.7764, -226.1704, -231.7856, -237.8586, -230.7785, -222.9966, -245.4575, -231.9993, -228.5813, -213.9634, -224.614, -231.2973, -231.6941, -202.5803, -228.7644, -207.7683, -235.6919, -236.7295, -228.6423, -234.166, -199.2234, 
0.0166, -459.05, -214.6958, -242.9551, -224.3699, -219.5786, -238.8657, -228.1846, -460.9116, -230.687, -227.7268, -213.414, -222.905, -226.7197, -208.2261, -237.4009, -444.2185, -276.3108, -461.1862, -230.2598, -236.3938, -231.1753, -235.875, -233.3115, -235.112, -239.9033, -222.2641, -231.0532, -232.3349, -227.9404, -238.0417, -204.9302, -223.729, -241.7344, -225.499, -213.7803, -234.3491, -208.4702, -234.9289, -247.0444, -237.645, -237.1567, -207.0969, 
0.01662, -469.3955, -207.2495, -233.6777, -214.1465, -230.3818, -239.2624, -226.5671, -459.5993, -229.7104, -233.4946, -209.0806, -218.6936, -231.511, -213.0173, -232.9453, -459.8435, -263.0966, -457.0664, -221.1655, -238.9878, -229.8935, -233.0979, -232.5486, -225.2854, -231.4499, -223.2712, -223.0576, -226.4756, -240.8799, -232.396, -200.6882, -218.5715, -236.4548, -217.0762, -204.2283, -242.9245, -204.3503, -222.2031, -242.4668, -249.7605, -235.875, -225.2854, 
0.01664, -462.8647, -212.9258, -230.8396, -215.3672, -229.7715, -239.6897, -231.1753, -452.7939, -234.8984, -246.3425, -206.1203, -211.8882, -229.5884, -205.6321, -228.7034, -456.2119, -266.24, -449.1013, -226.7807, -233.7388, -239.2624, -233.1284, -237.8891, -234.7458, -234.9289, -228.4897, -222.5083, -225.2549, -243.0161, -230.1987, -195.6528, -224.2783, -221.4097, -228.8254, -217.0762, -246.8003, -200.0779, -225.7431, -244.7556, -236.9431, -231.572, -213.292, 
0.01666, -464.0244, -205.7847, -243.5654, -223.3017, -213.1089, -228.7034, -228.1235, -460.2402, -233.1284, -235.4477, -209.2026, -200.383, -236.1191, -210.2707, -232.0298, -462.2544, -276.0971, -458.8364, -242.1921, -226.4145, -229.4358, -222.6304, -244.8472, -234.3796, -229.4358, -235.2036, -226.4145, -233.9829, -242.7414, -226.0788, -208.0124, -212.6816, -236.7905, -237.645, -212.5901, -242.8025, -211.5525, -245.4575, -229.6799, -224.7971, -224.1868, -196.0801, 
0.01668, -448.5825, -214.9399, -232.2434, -203.5569, -206.6391, -231.5415, -237.5535, -452.7024, -234.8374, -226.2314, -215.4587, -220.7383, -238.6216, -215.8555, -233.4031, -448.5215, -278.3554, -460.4233, -238.53, -232.2739, -238.9267, -214.116, -232.6401, -218.9072, -240.239, -230.5344, -237.0652, -240.239, -240.5747, -235.9971, -199.1318, -211.522, -223.0271, -231.2668, -203.4958, -237.9807, -203.5874, -236.9126, -238.6521, -239.1098, -227.8183, -211.8882, 
0.0167, -450.9934, -224.4614, -226.1704, -190.4343, -216.1911, -241.9175, -240.239, -442.3264, -243.6875, -239.415, -212.0408, -224.8581, -241.6733, -235.5393, -235.6308, -447.667, -265.5686, -452.3362, -229.6799, -230.8701, -234.0744, -210.1181, -232.9758, -228.7339, -232.1213, -235.936, -246.3425, -238.4995, -227.6658, -232.8843, -222.9966, -208.7754, -226.1704, -227.4521, -208.5007, -240.6662, -207.6157, -227.6963, -232.0298, -250.4624, -225.0718, -214.177, 
