Sweep Start (s), 68.8399, 69.00374, 69.16758, 69.33142, 69.49526, 69.6591, 69.82294, 69.98678, 70.15062, 70.31446, 70.4783, 70.64214, 70.80598, 70.96982, 71.13366, 71.2975, 71.46134, 71.62518, 71.78902, 71.95286, 72.1167, 72.28054, 72.44438, 72.60822, 72.77206, 72.9359, 73.09974, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, 
0, -437.9013, -225.1633, -215.3367, -210.5759, -224.7971, -229.5884, -209.4468, -205.1743, -244.7861, -227.9404, -236.2107, -224.2173, -242.5583, -223.2712, -223.4238, -247.5632, -229.8935, -213.4751, -235.6919, -230.4123, -207.2495, -197.7585, -234.0134, -231.633, -225.6516, -215.947, -213.1699, 
2E-05, -439.0915, -237.1262, -200.9629, -218.2663, -232.9453, -225.8957, -214.3296, -199.5285, -232.8537, -238.7131, -238.5605, -223.0271, -242.4973, -233.0368, -233.1589, -224.3088, -232.5791, -197.3618, -232.8232, -212.8952, -211.8577, -199.437, -227.5437, -230.687, -223.8816, -212.468, -206.7612, 
4E-05, -452.7329, -241.2461, -208.7449, -209.5078, -240.7578, -241.0325, -236.8821, -206.4866, -224.7971, -233.9219, -238.7742, -234.99, -238.2248, -238.6826, -228.2151, -242.7109, -224.8887, -206.8528, -248.3567, -205.6931, -204.4724, -198.3384, -229.5884, -235.0205, -204.4419, -211.4304, -212.1933, 
6E-05, -450.0168, -235.4783, -223.3323, -219.1208, -233.1284, -236.821, -230.3818, -233.8913, -234.1355, -233.6777, -241.2461, -228.0014, -238.7131, -231.6941, -239.415, -251.4084, -212.1628, -198.5215, -222.8745, -225.9873, -209.1416, -200.1999, -234.9595, -242.2837, -200.5051, -201.146, -201.2986, 
8E-05, -454.0146, -248.6618, -234.6238, -218.8767, -226.323, -237.6755, -232.2739, -233.9524, -235.0205, -237.5535, -233.7998, -220.7383, -230.8396, -225.8347, -239.8423, -229.9546, -219.9448, -207.0054, -241.124, -216.771, -216.8625, -210.5759, -235.875, -253.9719, -230.0461, -210.3013, -214.8484, 
0.0001, -452.1225, -231.8161, -222.7524, -206.9138, -226.0178, -228.7034, -242.894, -227.2385, -231.6636, -237.0957, -231.4499, -235.936, -243.6264, -233.0979, -218.3579, -231.6636, -233.7693, -197.6365, -235.3562, -215.6418, -203.3127, -199.5591, -235.4172, -238.1943, -218.3579, -219.0293, -222.5998, 
0.00012, -451.5122, -223.8511, -231.4194, -206.6391, -221.9285, -229.9241, -229.5273, -230.2598, -229.3137, -249.6994, -245.3354, -226.9639, -238.5605, -245.2744, -224.9802, -226.1094, -209.1416, -200.7798, -237.2483, -206.1203, -209.5688, -182.1335, -233.22, -240.9409, -208.7143, -216.0386, -223.1186, 
0.00014, -457.0664, -234.7458, -227.2995, -209.2637, -230.9006, -235.3562, -229.6494, -238.7742, -225.5295, -234.4101, -234.7458, -223.9121, -232.0298, -246.3425, -214.9399, -231.4194, -194.2795, -203.2517, -243.9927, -216.4353, -206.9138, -195.5307, -239.4761, -227.1164, -203.2212, -204.2283, -229.4968, 
