Sweep Start (s), 23.90376, 24.0676, 24.23144, 24.39528, 24.55912, 24.72296, 24.8868, 25.05064, 25.21448, 25.37832, 25.54216, 25.706, 25.86984, 26.03368, 26.19752, 26.36136, 26.5252, 26.68904, 26.85288, 27.01672, 27.18056, 27.3444, 27.50824, 27.67208, 27.83592, 27.99976, 28.1636, 28.32744, 28.49128, 28.65512, 28.81896, 28.9828, 29.14664, 29.31048, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, Sweep #32, Sweep #33, Sweep #34, 
0, -469.9753, -230.7785, -237.3703, -229.802, -223.0576, -245.0303, -240.0559, -240.1169, -233.0979, -226.0178, -230.3818, -460.9726, -244.3284, -250.3098, -235.8139, -242.9856, -237.7976, -235.0205, -233.6167, -235.051, -233.3115, -227.0249, -239.5676, -238.8352, -234.3491, -253.5141, -238.53, -235.3867, -240.9409, -231.2363, -213.5666, -242.3447, -230.1072, -241.6733, 
2E-05, -460.3318, -238.469, -240.4831, -237.6145, -234.7153, -232.4265, -236.3327, -234.0134, -229.3442, -234.4407, -220.3721, -453.3127, -239.1098, -243.5349, -236.7295, -235.2341, -231.4499, -231.572, -236.8821, -222.6914, -243.0161, -250.4014, -229.3442, -227.6047, -230.5344, -242.3752, -243.657, -245.7322, -237.4924, -245.4575, -209.5993, -237.2483, -229.863, -231.9993, 
4E-05, -456.395, -234.9289, -243.8706, -234.1965, -220.6162, -233.6777, -240.4221, -224.7056, -245.488, -243.1382, -229.5578, -447.8501, -234.0134, -237.6145, -242.3142, -232.8537, -230.3513, -232.9453, -243.9011, -241.4902, -242.1311, -252.7207, -224.8276, -223.3323, -240.4831, -228.978, -237.2483, -229.2527, -238.4385, -241.9785, -233.9829, -236.3022, -224.4004, -240.6662, 
6E-05, -448.552, -239.3845, -234.0744, -225.2243, -223.2102, -215.2451, -238.8962, -227.9709, -239.7812, -236.0886, -238.469, -468.9072, -229.039, -238.8962, -232.1518, -242.3752, -234.6238, -238.53, -238.2859, -240.0254, -236.5769, -246.1899, -237.7671, -219.1819, -239.0183, -239.8423, -235.3867, -228.5202, -237.8891, -226.3535, -244.9387, -244.1758, -232.1518, -221.959, 
8E-05, -461.4304, -238.7742, -239.9643, -238.3164, -241.8259, -227.4827, -228.6728, -224.675, -234.0744, -237.5229, -235.9971, -457.8293, -226.323, -233.1284, -237.2178, -239.3235, -243.5044, -243.779, -237.4009, -246.251, -238.9878, -248.6924, -236.4853, -234.7764, -237.6755, -230.8701, -244.0537, -229.5273, -225.8347, -231.8161, -234.6238, -233.22, -233.0063, -230.1072, 
0.0001, -463.4751, -228.7034, -234.227, -229.6799, -240.8799, -236.9126, -235.6919, -233.6167, -235.0815, -243.1077, -247.3801, -449.0403, -251.2558, -234.0744, -235.112, -242.3752, -238.8962, -234.0744, -239.415, -234.9289, -239.9949, -245.8237, -232.2739, -252.9343, -240.3, -235.7529, -234.5932, -238.6826, -235.7529, -234.9289, -220.4026, -230.7175, -236.9431, -233.4641, 
0.00012, -470.7077, -244.664, -231.2363, -228.2151, -225.7126, -237.0957, -241.0325, -226.5976, -230.1072, -238.1028, -235.0815, -449.9558, -242.3447, -248.845, -232.0603, -227.0249, -241.3987, -229.2527, -246.9529, -234.9289, -237.5535, -242.1311, -227.9709, -220.0669, -244.0842, -220.5857, -236.0581, -237.4924, -238.1333, -229.0085, -242.4668, -231.7856, -239.0488, -225.5295, 
0.00014, -459.4162, -236.8515, -237.7671, -243.7485, -218.48, -229.4053, -232.1824, -231.3584, -236.9431, -230.6565, -222.8745, -454.9912, -236.9736, -238.0112, -229.1001, -236.5159, -239.354, -243.0771, -234.6238, -232.9758, -233.5862, -249.6689, -238.3469, -215.6723, -240.7273, -224.9802, -234.227, -233.3115, -240.2085, -236.4548, -236.4853, -244.4809, -225.8042, -233.5556, 
