Sweep Start (s), 92.00362, 92.16746, 92.3313, 92.49514, 92.65898, 92.82282, 92.98666, 93.1505, 93.31434, 93.47818, 93.64202, 93.80586, 93.9697, 94.13354, 94.29738, 94.46122, 94.62506, 94.7889, 94.95274, 95.11658, 95.28042, 95.44426, 95.6081, 95.77194, 95.93578, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, 
0, -445.5002, -232.8232, -228.8865, -239.1709, -245.4575, -226.0788, -224.4614, -225.0107, -240.6662, -232.396, -231.6941, -221.3486, -221.0129, -223.6069, -226.8418, -225.3769, -224.6445, -239.5676, -214.0854, -219.6702, -205.7541, -197.3008, -226.7807, -231.4499, -235.7529, 
2E-05, -446.2021, -220.1584, -235.5088, -214.238, -240.2085, -250.676, -236.7905, -223.7595, -245.1828, -216.4963, -215.6113, -227.6658, -221.5928, -223.6985, -239.3235, -239.3235, -229.9546, -239.9949, -224.1257, -212.3764, -201.2681, -199.1318, -223.0576, -235.6919, -241.4292, 
4E-05, -434.3613, -227.7573, -233.4946, -233.342, -238.6216, -238.1028, -233.5862, -234.7764, -233.8608, -230.5649, -232.1213, -228.3066, -226.8723, -230.8091, -239.9033, -232.5791, -233.0979, -231.572, -230.3208, -216.4048, -205.0217, -213.6277, -237.0652, -243.7485, -240.0864, 
6E-05, -438.5117, -232.2434, -225.56, -230.1377, -228.9475, -208.5312, -220.0669, -244.9387, -227.0554, -225.0107, -235.1731, -211.4304, -235.6003, -225.0718, -231.7246, -219.487, -235.5393, -233.4946, -237.1567, -222.02, -229.3442, -231.0532, -238.8657, -230.6565, -233.0674, 
8E-05, -440.0681, -227.5437, -222.6609, -229.3442, -220.5552, -228.7339, -226.0178, -243.5349, -236.0276, -220.4331, -230.2598, -210.3623, -220.4941, -226.2925, -227.6047, -227.9404, -217.717, -231.1753, -221.6843, -207.1579, -238.3469, -232.5791, -235.3257, -242.4363, -225.3464, 
0.0001, -435.6125, -224.7971, -238.9878, -240.9409, -234.2881, -240.6357, -234.3491, -239.9949, -218.48, -217.3203, -235.0205, -211.9187, -229.6189, -232.2739, -231.7246, -235.3867, -221.6538, -238.8657, -224.2173, -205.1743, -234.3796, -241.5207, -223.4543, -242.3447, -219.2124, 
0.00012, -446.2021, -233.4946, -239.5981, -230.0156, -247.6853, -224.553, -243.1382, -220.4331, -222.4473, -223.2712, -235.8139, -223.5764, -234.227, -232.5486, -228.154, -236.3633, -240.0864, -226.4145, -224.4614, -205.6321, -228.978, -232.7317, -234.7458, -233.281, -223.668, 
0.00014, -451.5732, -231.3279, -230.9006, -226.3535, -240.8799, -223.5459, -226.6587, -235.2341, -229.3747, -234.7153, -234.7153, -223.9731, -227.5742, -212.8342, -238.0417, -224.7666, -227.4521, -228.3982, -220.2195, -224.7666, -235.051, -220.0058, -236.1496, -240.5747, -235.2341, 
