Sweep Start (s), 88.30958, 88.47342, 88.63726, 88.8011, 88.96494, 89.12878, 89.29262, 89.45646, 89.6203, 89.78414, 89.94798, 90.11182, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, 
0, -449.3454, -238.3469, -232.4875, -235.5698, -224.614, -239.8423, -224.8887, -250.5539, -228.1846, -229.3747, -214.4211, -236.2412, 
2E-05, -464.4516, -239.415, -233.0674, -235.8139, -221.4097, -243.1382, -228.978, -235.4477, -230.748, -237.9502, -216.3437, -219.7922, 
4E-05, -445.8664, -244.1147, -241.6733, -235.9055, -221.6538, -228.2151, -244.0537, -237.5535, -230.3818, -244.6335, -224.7666, -231.0837, 
6E-05, -457.4936, -229.6494, -250.1267, -229.6189, -218.6631, -248.3567, -247.8989, -239.0488, -225.0718, -248.9975, -228.154, -231.7551, 
8E-05, -448.8877, -239.7812, -231.8772, -242.5889, -230.9006, -237.706, -235.051, -247.8074, -225.1938, -238.3164, -226.7807, -226.0788, 
0.0001, -453.9841, -239.0183, -230.0461, -240.6052, -227.5742, -223.9121, -229.6494, -232.1824, -233.7082, -245.7932, -242.4363, -245.3049, 
0.00012, -450.7492, -243.1382, -236.3022, -236.3633, -234.0134, -230.748, -231.511, -231.2058, -234.4101, -241.0019, -237.1262, -238.1638, 
0.00014, -460.82, -226.5061, -228.2456, -242.2532, -244.8777, -238.8047, -237.0957, -246.2815, -239.415, -230.2292, -221.8979, -243.5349, 
0.00016, -443.3029, -228.0625, -246.3425, -233.4336, -241.3681, -225.1023, -228.7339, -252.5681, -233.0063, -231.0532, -222.966, -225.8652, 
0.00018, -444.1574, -233.6777, -228.6423, -231.8467, -251.7441, -237.9807, -236.3022, -238.7131, -226.8723, -234.105, -219.426, -238.0723, 
0.0002, -456.5476, -241.8869, -227.6963, -228.7949, -231.3279, -233.4946, -242.4057, -228.154, -221.9895, -238.6521, -218.0222, -236.0276, 
0.00022, -445.0119, -234.3186, -234.5627, -222.3252, -234.2881, -224.9192, -243.9316, -242.1006, -227.6963, -229.039, -230.3513, -231.8161, 
