Sweep Start (s), 106.1849, 106.3487, 106.5126, 106.6764, 106.8403, 107.0041, 107.1679, 107.3318, 107.4956, 107.6595, 107.8233, 107.9871, 108.151, 108.3148, 108.4787, 108.6425, 108.8063, 108.9702, 109.134, 109.2979, 109.4617, 109.6255, 109.7894, 109.9532, 110.1171, 110.2809, 110.4447, 110.6086, 110.7724, 110.9363, 111.1001, 111.2639, 111.4278, 111.5916, 111.7555, 111.9193, 112.0831, 112.247, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, Sweep #32, Sweep #33, Sweep #34, Sweep #35, Sweep #36, Sweep #37, Sweep #38, 
0, -430.8368, -187.8253, -202.5653, -211.7511, -221.2726, -184.682, -206.3495, -212.3615, -431.0809, -192.7692, -205.8002, -206.0748, -206.2579, -191.3349, -223.5919, -188.924, -216.6339, -188.6798, -188.6798, -210.8966, -219.1669, -188.8019, -196.7975, -185.1703, -205.5255, -211.2018, -218.9838, -221.6083, -199.9408, -202.2601, -221.3031, -198.8117, -197.9572, -228.5053, -217.0917, -188.1305, -203.2062, -196.6449, 
2E-05, -429.5551, -211.3544, -197.3468, -220.9369, -217.3358, -193.8983, -220.7233, -214.1315, -447.4689, -197.7435, -207.5397, -214.1925, -205.3424, -192.0368, -215.108, -195.3632, -224.9652, -198.2318, -207.1124, -187.5812, -243.7335, -201.955, -209.3707, -193.3185, -193.3185, -212.4835, -204.1828, -226.3996, -215.8405, -201.955, -226.7963, -200.9479, -201.8634, -222.4323, -217.2748, -189.2902, -195.943, -180.6232, 
4E-05, -445.6378, -213.4601, -205.0372, -229.9091, -220.296, -193.3795, -237.2943, -232.7777, -448.2013, -193.8373, -200.0934, -213.338, -199.3305, -206.9293, -215.108, -199.0863, -221.8829, -198.3539, -206.8988, -189.4428, -233.0829, -200.2155, -202.3822, -217.702, -210.2863, -203.2977, -178.8532, -231.435, -216.4813, -201.8329, -225.9418, -212.6666, -203.7555, -227.2235, -226.5521, -205.2814, -202.7789, -196.4313, 
6E-05, -435.6281, -193.3795, -212.2699, -224.5075, -232.5336, -180.7758, -221.7304, -228.4747, -425.5573, -198.2929, -201.6193, -211.1102, -198.7811, -202.7484, -210.6525, -205.8002, -209.4928, -190.9076, -195.7599, -200.185, -223.8666, -199.5441, -192.2809, -213.9179, -203.5114, -206.0443, -205.3119, -227.5592, -194.6308, -207.7533, -225.4535, -197.4689, -211.5985, -236.9892, -237.4774, -201.5277, -205.434, -207.7228, 
8E-05, -422.0172, -202.5653, -212.1173, -223.7445, -239.1559, -182.4542, -226.6437, -226.8878, -431.0809, -202.7179, -223.775, -202.4433, -199.8798, -203.0841, -238.0573, -214.2841, -211.8121, -192.7997, -196.9806, -204.1217, -222.6764, -204.7626, -193.4711, -214.0399, -205.2204, -217.3969, -207.0819, -215.047, -189.5038, -194.2035, -230.5194, -191.2738, -204.3964, -211.568, -217.3053, -202.3822, -189.809, -196.1261, 
0.0001, -440.4498, -211.3849, -216.5119, -223.714, -241.2311, -183.2172, -241.3226, -228.4747, -437.7948, -197.713, -209.8895, -188.5883, -203.3588, -198.7506, -217.58, -221.5473, -227.6203, -204.3353, -205.556, -198.0487, -227.5897, -200.0629, -197.0722, -195.1801, -210.4999, -210.4389, -200.0629, -233.6017, -195.1801, -195.1496, -217.7936, -200.1544, -203.2977, -209.3097, -223.5614, -201.8939, -191.7011, -196.9806, 
0.00012, -429.7687, -218.9533, -221.9745, -236.3483, -224.0497, -193.1354, -232.3505, -225.5145, -453.3282, -200.9784, -195.5768, -209.859, -206.0138, -193.3795, -212.0868, -219.4721, -238.6981, -204.0302, -200.6732, -188.5578, -224.9957, -208.2721, -206.8988, -217.5495, -209.1266, -207.4787, -202.077, -221.9745, -196.828, -213.2465, -226.4606, -204.9152, -192.3419, -222.4323, -219.289, -198.9642, -193.9594, -202.5653, 
0.00014, -429.7076, -226.247, -223.4088, -226.6742, -214.8029, -198.0792, -219.4415, -234.2121, -436.3605, -196.7059, -198.1098, -204.9457, -208.15, -197.7741, -215.5353, -203.8776, -213.6432, -204.0912, -190.8771, -197.9267, -221.2421, -211.1408, -198.537, -200.0018, -200.6732, -230.4584, -199.483, -221.7304, -199.6051, -206.5021, -224.0802, -200.5512, -208.2721, -221.8524, -230.3668, -209.1571, -188.039, -216.4508, 
0.00016, -433.3392, -210.3168, -222.3712, -215.2912, -222.7069, -190.0226, -234.6393, -222.5543, -440.6635, -205.0983, -188.1305, -202.1381, -193.5321, -203.725, -205.9833, -211.8427, -221.0285, -196.1566, -201.1005, -202.7789, -227.9559, -205.8917, -204.7321, -190.694, -191.3043, -230.5805, -206.6242, -233.9069, -209.2487, -219.0143, -232.8082, -201.2531, -209.6149, -230.0922, -225.3925, -203.9996, -207.4787, -204.2438, 
0.00018, -434.0717, -210.9271, -219.0448, -222.4628, -225.362, -192.6471, -227.7423, -230.733, -432.9425, -207.8754, -197.0722, -201.7719, -190.2973, -197.8961, -207.265, -209.8895, -221.9135, -209.3707, -194.4782, -194.0204, -227.5592, -196.5839, -197.6825, -218.8922, -200.6122, -209.6454, -200.3986, -231.1298, -199.2084, -209.2487, -234.7919, -204.3353, -208.089, -222.89, -213.9789, -198.3539, -199.9103, -184.8346, 
0.0002, -432.7899, -190.1142, -207.6007, -226.7658, -214.9249, -198.3539, -221.7304, -221.4557, -431.0199, -206.2579, -195.3632, -211.0187, -198.6591, -209.8285, -210.8356, -218.7396, -221.6693, -195.943, -200.0018, -198.1403, -220.0214, -210.9577, -191.8537, -212.3309, -198.3539, -218.7091, -186.9708, -238.2404, -182.4848, -195.882, -231.4044, -204.8541, -200.6122, -220.0519, -222.7069, -210.5609, -191.8231, -196.0651, 
