Sweep Start (s), 80.06202, 80.22586, 80.3897, 80.55354, 80.71738, 80.88122, 81.04506, 81.2089, 81.37274, 81.53658, 81.70042, 81.86426, 82.0281, 82.19194, 82.35578, 82.51962, 82.68346, 82.8473, 83.01114, 83.17498, 83.33882, 83.50266, 83.6665, 83.83034, 83.99418, 84.15802, 84.32186, 84.4857, 84.64954, 84.81338, 84.97722, 85.14106, 85.3049, 85.46874, 85.63258, 85.79642, 85.96026, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, Sweep #32, Sweep #33, Sweep #34, Sweep #35, Sweep #36, Sweep #37, 
0, -444.1119, -226.7047, -230.3058, -236.4398, -216.2067, -208.3026, -207.3566, -198.8117, -226.0028, -230.4889, -215.81, -196.3092, -198.7506, -206.5631, -229.7565, -193.7457, -221.4557, -243.5809, -202.84, -218.3124, -212.4225, -217.0001, -215.2606, -216.1151, -212.0868, -199.7882, -225.5451, -192.2809, -199.422, -219.9603, -203.8165, -217.1222, -227.5287, -230.4279, -232.9913, -201.9855, -219.9298, 
2E-05, -447.1637, -225.1788, -222.0966, -220.0519, -231.557, -223.8666, -201.7719, -194.2951, -223.1342, -221.2726, -213.8263, -207.2345, -209.737, -197.4079, -202.8095, -205.5866, -217.0001, -224.538, -231.2213, -227.4371, -209.859, -227.9254, -210.622, -221.3947, -211.1102, -197.2553, -227.3456, -214.4367, -204.61, -224.3244, -204.3964, -237.7826, -226.5827, -232.2894, -224.4159, -193.7152, -223.8666, 
4E-05, -426.1981, -222.7374, -202.9621, -225.7587, -236.3483, -230.0922, -188.6798, -197.3163, -222.2186, -214.4977, -226.1249, -209.7064, -211.9953, -201.4972, -201.192, -207.5092, -219.8993, -214.986, -232.0453, -229.9701, -203.0231, -223.1952, -222.0355, -223.5919, -207.8754, -195.0885, -213.9789, -208.913, -208.3942, -231.7706, -194.0204, -226.4606, -230.8856, -222.9205, -229.6954, -202.1686, -217.6105, 
6E-05, -427.0221, -219.9298, -194.8749, -224.0802, -226.4606, -222.5543, -223.4393, -198.1098, -220.4791, -211.9953, -224.538, -225.6366, -211.3849, -213.6432, -198.4454, -207.3261, -233.6322, -216.756, -224.8737, -225.7282, -201.9245, -218.6176, -233.2965, -236.5924, -221.8829, -199.5441, -211.9953, -179.7077, -192.0673, -238.6676, -197.8656, -239.3695, -219.5636, -220.3571, -229.4513, -227.1015, -212.2699, 
8E-05, -436.4825, -223.6225, -205.6781, -231.8317, -214.986, -219.6552, -217.4274, -198.1403, -227.8949, -202.6569, -231.2518, -192.8302, -205.3424, -216.9391, -186.6046, -210.8661, -233.9069, -226.3996, -232.3505, -220.2655, -219.7162, -214.7418, -213.2465, -217.4884, -206.4716, -206.7462, -223.8971, -169.82, -193.9288, -218.6176, -196.6144, -222.2492, -228.5663, -232.7167, -226.9489, -221.944, -208.7909, 
0.0001, -433.0341, -218.3124, -206.319, -227.9559, -221.3336, -217.1527, -232.0148, -206.1969, -225.4535, -204.0607, -226.2164, -197.0111, -188.5272, -224.4464, -204.7016, -209.1876, -214.6503, -214.2841, -221.4252, -219.289, -203.8165, -221.6998, -207.0209, -224.0497, -208.4247, -204.3048, -222.1576, -201.1615, -187.0624, -203.1452, -218.8007, -223.2257, -228.4137, -234.6393, -226.308, -198.0792, -212.0563, 
0.00012, -438.3746, -219.2279, -197.652, -220.3876, -235.8295, -216.9086, -232.0453, -192.0978, -225.3314, -220.0214, -227.9254, -217.4884, -185.9638, -224.9652, -208.3331, -199.422, -221.5167, -235.0055, -225.7587, -223.2257, -206.8073, -227.254, -232.1674, -221.6998, -210.2252, -195.4852, -217.7631, -208.089, -195.3327, -225.6061, -225.362, -223.4393, -233.327, -214.8334, -229.848, -204.8847, -215.4437, 
0.00014, -434.3768, -230.1532, -203.2977, -234.0289, -232.1674, -239.0643, -222.1576, -197.3468, -226.9184, -233.1745, -225.9113, -181.6913, -195.2411, -219.9603, -191.9452, -199.0253, -230.8856, -222.2492, -227.5287, -228.4442, -230.4889, -232.3505, -231.8622, -224.8737, -220.8759, -205.0372, -234.8224, -203.0231, -196.2787, -225.9418, -229.7565, -228.9325, -223.5919, -218.2208, -221.1505, -207.8449, -209.1266, 
