Sweep Start (s), 121.5433, 121.7071, 121.871, 122.0348, 122.1986, 122.3625, 122.5263, 122.6902, 122.854, 123.0178, 123.1817, 123.3455, 123.5094, 123.6732, 123.837, 124.0009, 124.1647, 124.3286, 124.4924, 124.6562, 124.8201, 124.9839, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, 
0, -429.3719, -213.5517, -209.1571, -200.4291, -203.786, -214.8334, -208.974, -192.9523, -204.3048, -192.8302, -189.6869, -197.1942, -198.8727, -213.216, -219.0448, -197.9267, -186.4826, -196.828, -203.9081, -203.5114, -199.9408, -190.1752, 
2E-05, -432.4237, -192.0368, -207.4481, -185.1703, -214.0094, -193.1354, -201.5582, -203.0231, -184.8041, -188.3136, -199.9103, -197.6825, -190.4498, -222.0661, -218.7702, -191.7621, -202.1991, -190.5414, -198.4149, -207.6618, -200.0629, -191.9757, 
4E-05, -433.2172, -196.7975, -201.8939, -199.7577, -197.9877, -194.6918, -207.8449, -192.1893, -199.9408, -207.265, -197.2553, -208.1195, -204.3964, -232.8693, -210.5304, -204.4574, -204.1217, -188.5883, -192.4945, -202.4127, -200.3375, -192.8302, 
6E-05, -427.8766, -207.1735, -187.1234, -198.4454, -186.3605, -202.3517, -194.9054, -192.3419, -193.5932, -201.8939, -189.3817, -194.997, -200.307, -218.9838, -207.3566, -213.3685, -186.8488, -202.7484, -207.9364, -199.9408, -197.5299, -197.2858, 
8E-05, -432.027, -188.4662, -202.4738, -205.556, -195.1496, -181.7829, -191.4264, -198.537, -198.598, -193.7763, -205.1593, -199.6967, -195.7599, -221.8829, -224.538, -198.6896, -207.6007, -207.3871, -197.1637, -203.3893, -204.1828, -197.8351, 
0.0001, -430.7452, -196.1871, -197.4994, -191.1517, -207.9669, -186.7267, -203.2062, -203.9081, -203.9081, -205.3729, -204.3659, -220.8148, -200.5512, -242.2077, -200.1239, -197.1942, -216.8475, -193.4711, -198.0182, -194.4782, -208.5773, -188.8324, 
0.00012, -438.5883, -197.6215, -204.0912, -184.0412, -199.422, -203.725, -185.5365, -229.2377, -198.5065, -190.9076, -200.6427, -198.7811, -197.1027, -233.5407, -209.7064, -206.1664, -201.8329, -200.0934, -192.9218, -200.0324, -200.6732, -201.6193, 
0.00014, -434.8651, -203.725, -190.4498, -190.4498, -211.7816, -213.5822, -186.452, -228.2001, -190.7245, -189.4122, -202.901, -194.112, -204.6405, -223.4088, -216.3593, -201.4362, -190.6329, -188.9545, -202.2601, -208.1806, -196.5534, -205.4035, 
0.00016, -434.7736, -200.6122, -198.3844, -197.6825, -221.5778, -189.3512, -193.8068, -209.859, -196.7365, -197.2553, -198.0792, -194.8444, -198.6896, -211.9342, -213.4296, -211.1408, -196.6449, -191.8842, -204.7321, -196.767, -184.682, -203.1452, 
0.00018, -432.027, -203.6334, -193.0744, -217.0917, -212.9413, -199.1474, -203.5724, -198.3844, -191.9452, -204.0302, -187.7643, -205.8307, -201.4667, -230.8856, -214.2536, -193.9899, -199.2389, -206.6242, -190.7855, -203.3588, -208.4247, -208.6383, 
0.0002, -421.2543, -188.8629, -206.5631, -204.3964, -204.1217, -209.7675, -203.725, -213.6127, -206.1969, -198.7506, -195.943, -198.476, -200.7953, -229.2072, -211.7206, -190.0531, -185.6281, -204.9457, -195.8209, -191.1823, -211.0492, -195.3327, 
0.00022, -436.391, -199.7577, -193.8678, -203.725, -201.8939, -196.0346, -196.6754, -197.4384, -202.7484, -184.4074, -207.1124, -185.0177, -197.4994, -227.8339, -211.2934, -199.3305, -209.9506, -210.2252, -200.2765, -207.2345, -192.464, -195.2411, 
