Sweep Start (s), 86.8536, 87.01744, 87.18128, 87.34512, 87.50896, 87.6728, 87.83664, 88.00048, 88.16432, 88.32816, 88.492, 88.65584, 88.81968, 88.98352, 89.14736, 89.3112, 89.47504, 89.63888, 89.80272, 89.96656, 90.1304, 90.29424, 90.45808, 90.62192, 90.78576, 90.9496, 91.11344, 91.27728, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, 
0, -423.1158, -224.0192, -231.6181, -224.9347, -226.308, -207.5092, -188.3136, -220.6622, -195.9735, -208.15, -224.8737, -206.38, -228.1696, -217.4579, -202.7484, -235.6159, -231.0077, -222.4017, -220.3571, -201.5582, -217.0612, -231.5265, -233.2965, -224.3244, -223.5004, -184.9567, -222.829, -241.5058, 
2E-05, -432.6678, -225.5451, -220.9979, -235.9516, -228.3222, -212.4225, -187.0014, -240.4682, -200.7648, -208.3942, -229.726, -204.671, -230.2142, -208.7909, -203.4809, -237.5079, -226.9184, -216.8475, -236.7145, -205.9528, -229.3598, -214.5892, -231.7706, -218.9533, -221.0285, -185.8722, -221.0895, -223.775, 
4E-05, -441.2738, -222.9511, -237.3554, -216.1151, -233.1134, -214.8944, -184.1022, -224.599, -204.6405, -207.5397, -226.5216, -217.8546, -219.411, -194.997, -212.3004, -223.5919, -231.0382, -212.8192, -228.5358, -209.9506, -235.5243, -212.5141, -225.5145, -229.8786, -207.4481, -209.8895, -231.5265, -221.3031, 
6E-05, -426.9, -211.2323, -224.8126, -228.6273, -225.0263, -235.4022, -179.3109, -213.7653, -201.1615, -206.7157, -229.4513, -216.2982, -227.8034, -206.1359, -225.5451, -233.1134, -232.5641, -212.0563, -222.5543, -215.9931, -225.8808, -225.2704, -220.174, -217.2138, -216.756, -197.2247, -226.369, -223.0426, 
8E-05, -428.5785, -218.6481, -225.6061, -218.0988, -223.7445, -229.3903, -197.4689, -222.89, -208.3026, -205.1593, -207.9669, -197.2858, -239.6442, -224.8126, -216.6644, -224.1107, -229.9091, -212.6056, -218.0683, -229.5734, -228.7189, -237.5079, -219.3195, -226.7352, -241.872, -202.84, -223.4088, -232.442, 
0.0001, -434.8956, -218.7702, -218.1598, -225.2704, -232.1979, -220.4181, -200.3375, -234.975, -191.4569, -194.2645, -226.4301, -200.307, -230.4279, -213.9179, -227.9865, -231.2213, -234.7614, -219.1364, -225.2399, -224.9347, -237.5995, -221.2116, -238.4235, -225.5756, -231.3739, -205.8307, -228.4442, -228.9325, 
0.00012, -420.3082, -230.0006, -217.3969, -213.8263, -232.2284, -225.9418, -187.4286, -229.4208, -196.4923, -197.0416, -227.0099, -197.2247, -213.338, -211.0797, -239.0033, -242.5434, -240.1019, -210.2863, -228.5053, -206.38, -220.6622, -210.5914, -234.4257, -225.5756, -225.3314, -196.4618, -212.6972, -217.8851, 
0.00014, -428.0597, -237.0807, -223.8361, -217.641, -224.6906, -213.9179, -179.1278, -233.0829, -202.1991, -209.9811, -215.108, -193.288, -204.0302, -221.0285, -216.9391, -235.0665, -236.4398, -203.0231, -223.653, -230.0617, -213.338, -226.7658, -220.0519, -221.2421, -214.9555, -192.7387, -228.1696, -226.1554, 
0.00016, -436.9098, -215.0775, -208.1806, -225.1178, -217.3663, -223.714, -194.997, -226.3996, -205.3424, -215.047, -230.1227, -210.4694, -207.4787, -195.7599, -220.9369, -217.8241, -228.5968, -212.1784, -221.0285, -241.4142, -230.0006, -231.2213, -226.3385, -227.7423, -222.0966, -206.1054, -229.1461, -232.5946, 
0.00018, -439.87, -223.9581, -223.9276, -232.8998, -214.7113, -227.9865, -196.5534, -231.2213, -209.3097, -212.7277, -223.0426, -235.6769, -203.8165, -203.6029, -238.5455, -227.8949, -218.5565, -211.7511, -239.0643, -222.3102, -229.5734, -233.0524, -221.9745, -223.6835, -228.5358, -209.6149, -215.3522, -224.9652, 
0.0002, -422.6276, -224.0802, -219.1364, -218.0072, -221.2726, -226.6742, -196.4313, -232.7167, -207.4481, -235.0055, -231.6486, -221.6388, -203.0231, -223.1952, -224.66, -224.2938, -224.7821, -196.6754, -233.8458, -233.2355, -242.1771, -216.4508, -245.9613, -231.8622, -218.4345, -207.8143, -225.6366, -223.3173, 
0.00022, -426.7474, -221.3336, -208.4857, -210.0726, -218.8617, -229.0241, -189.6259, -225.8502, -208.5163, -228.3222, -227.4371, -221.4252, -205.2204, -214.9555, -220.5402, -220.6012, -227.6813, -205.5255, -228.6273, -226.6437, -219.3195, -211.3849, -236.1347, -230.672, -218.5871, -199.7272, -227.8339, -224.7211, 
0.00024, -425.5267, -217.2443, -209.5844, -217.7326, -226.6742, -224.6295, -189.9921, -206.0748, -192.9218, -219.8688, -218.9533, -232.1369, -198.5675, -213.6127, -221.4252, -231.0993, -238.8507, -216.5424, -226.5216, -214.8639, -224.2328, -225.7892, -232.381, -218.4039, -211.568, -191.2433, -215.6268, -215.3217, 
0.00026, -412.16, -223.5309, -227.1015, -223.2257, -231.496, -227.8034, -201.4057, -229.5734, -205.0983, -220.5402, -229.5123, -229.1767, -201.1615, -215.9015, -235.9821, -222.3712, -199.2084, -217.3969, -234.7309, -226.369, -234.3036, -230.0311, -212.0563, -222.9205, -219.6857, -197.1027, -230.1837, -224.9652, 
0.00028, -424.7638, -229.5734, -244.8017, -225.6061, -217.4274, -223.775, -196.9501, -223.2257, -206.5631, -221.3336, -234.8224, -211.3849, -215.871, -220.3266, -227.0404, -235.0971, -218.465, -212.6972, -222.5849, -233.0524, -228.017, -231.4044, -214.7418, -232.8388, -205.7697, -206.1664, -218.465, -235.7074, 
0.0003, -436.9708, -224.4159, -233.5407, -220.8454, -226.8573, -231.6181, -191.6095, -219.0143, -196.1871, -225.8502, -231.8317, -224.9042, -207.9364, -202.016, -228.2611, -219.9909, -225.1788, -208.5773, -216.2372, -234.09, -228.4442, -225.423, -230.6415, -233.8153, -196.5228, -201.7413, -220.8759, -211.8121, 
0.00032, -428.9142, -227.9254, -220.7843, -231.6791, -234.7919, -223.5614, -196.4008, -228.3527, -202.8705, -230.3058, -225.2704, -226.4301, -195.9125, -195.0885, -217.1527, -235.6769, -207.4176, -209.4013, -211.9647, -205.0983, -206.2885, -217.5189, -234.1815, -222.768, -201.6803, -190.3888, -237.5385, -222.9511, 
