Sweep Start (s), 108.6622, 108.8261, 108.9899, 109.1538, 109.3176, 109.4814, 109.6453, 109.8091, 109.973, 110.1368, 110.3006, 110.4645, 110.6283, 110.7922, 110.956, 111.1198, 111.2837, 111.4475, 111.6114, 111.7752, 111.939, 112.1029, 112.2667, 112.4306, 112.5944, 112.7582, 112.9221, 113.0859, 113.2498, 113.4136, 113.5774, 113.7413, 113.9051, 114.069, 114.2328, 114.3966, 114.5605, 114.7243, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, Sweep #32, Sweep #33, Sweep #34, Sweep #35, Sweep #36, Sweep #37, Sweep #38, 
0, -432.7289, -241.1395, -239.9188, -246.8158, -198.9948, -200.246, -213.6127, -207.4176, -194.9054, -235.4938, -202.5043, -213.9179, -205.0983, -227.0709, -418.7213, -208.6994, -189.1681, -198.1708, -215.7489, -226.2164, -185.567, -196.828, -196.2177, -196.9196, -195.7904, -206.4411, -206.1054, -206.7767, -230.8551, -215.8405, -206.5936, -185.3839, -190.5719, -199.422, -221.6998, -225.8808, -214.4977, -232.4725, 
2E-05, -433.7054, -238.7592, -231.1603, -230.2448, -203.6334, -211.0187, -202.84, -206.7157, -194.0814, -245.8698, -223.6835, -209.5844, -210.1642, -242.4213, -434.2853, -211.7206, -189.6259, -210.8051, -221.5167, -220.6012, -207.204, -197.2858, -190.6635, -185.7807, -192.2809, -221.4862, -205.3119, -204.1217, -212.2699, -219.6552, -200.5817, -205.556, -192.1283, -194.8749, -216.0846, -230.2142, -218.2819, -234.3952, 
4E-05, -430.6537, -233.7848, -223.8971, -229.5123, -208.6994, -201.0089, -204.6405, -199.5441, -203.8776, -237.2943, -222.6459, -211.5375, -194.9054, -228.9935, -431.3861, -198.1098, -185.8417, -196.8891, -208.8214, -199.1168, -202.5043, -178.2428, -200.3375, -180.8978, -200.0934, -216.5729, -208.8214, -193.8678, -226.0333, -220.3571, -185.7196, -197.3468, -192.5556, -195.0275, -203.3893, -217.2748, -210.4694, -227.9559, 
6E-05, -433.5529, -228.6273, -243.9166, -225.8502, -202.1076, -202.2296, -208.3026, -198.7811, -225.362, -226.8878, -226.8878, -205.0067, -202.9315, -221.12, -422.0477, -201.192, -185.1093, -195.4547, -203.8471, -191.0602, -202.2296, -195.119, -200.3375, -183.4613, -199.9103, -199.422, -205.2814, -195.6073, -225.0568, -233.7543, -199.2084, -194.1425, -214.8944, -211.2628, -205.4645, -216.3593, -215.6574, -214.101, 
8E-05, -430.5621, -224.2023, -232.2589, -234.151, -206.0443, -208.7604, -216.7255, -205.0067, -210.9882, -230.8246, -239.278, -191.4569, -207.265, -236.1652, -444.7223, -213.5211, -182.027, -201.8024, -224.4769, -186.1774, -207.204, -204.3353, -204.7931, -208.8825, -194.0204, -202.1076, -194.7528, -214.3756, -210.7746, -237.3554, -198.4454, -201.1615, -210.7135, -200.3986, -232.4725, -235.86, -224.9042, -222.0355, 
0.0001, -432.6984, -234.09, -223.2562, -242.4518, -200.185, -200.4901, -204.8847, -208.9435, -198.1403, -227.8644, -237.7216, -205.9528, -206.1054, -229.3598, -421.712, -210.2863, -183.736, -198.6286, -218.1598, -194.234, -211.1102, -187.7338, -193.3185, -198.6591, -199.1168, -212.9413, -205.9223, -224.3549, -220.9064, -228.2916, -193.5626, -211.6596, -200.8869, -197.3163, -199.6967, -225.362, -211.9037, -222.4933, 
0.00012, -425.2216, -233.0829, -212.453, -222.3102, -190.5719, -183.6444, -209.5538, -203.8776, -212.0563, -231.8317, -220.8759, -214.4061, -203.2977, -224.2633, -431.4471, -202.3212, -186.33, -198.3539, -219.6857, -200.8563, -196.6754, -208.6994, -196.767, -196.7365, -191.518, -212.9413, -193.1354, -206.6547, -237.0197, -229.2377, -199.3915, -197.8656, -200.3375, -193.1964, -192.464, -212.5446, -215.1996, -219.2584, 
0.00014, -425.8624, -233.1439, -228.9325, -226.7047, -218.2208, -200.2155, -200.3986, -203.7555, -197.1332, -234.3036, -224.0497, -196.1261, -207.8143, -233.1439, -443.4711, -210.1032, -186.9098, -199.1474, -211.3544, -189.7479, -206.8073, -202.3822, -211.568, -192.3114, -190.7245, -225.7282, -203.9081, -192.6776, -229.8175, -239.3695, -200.6427, -185.1398, -203.5114, -201.3446, -225.1178, -220.3266, -211.2934, -214.5282, 
