Sweep Start (s), 121.9414, 122.1053, 122.2691, 122.4329, 122.5968, 122.7606, 122.9245, 123.0883, 123.2521, 123.416, 123.5798, 123.7437, 123.9075, 124.0713, 124.2352, 124.399, 124.5629, 124.7267, 124.8905, 125.0544, 125.2182, 125.3821, 125.5459, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, 
0, -434.5294, -235.921, -216.9696, -236.7145, -226.8878, -216.1762, -217.4884, -231.8317, -189.1376, -235.9516, -223.1037, -219.1364, -222.8595, -213.1854, -193.2575, -207.1735, -223.0426, -243.4894, -228.017, -209.035, -230.8246, -207.4481, -436.2384, 
2E-05, -441.64, -230.5805, -219.8078, -227.5897, -244.8322, -214.223, -221.5167, -223.1952, -196.4923, -224.3854, -195.9735, -211.8732, -233.5101, -226.0333, -195.943, -215.108, -227.3151, -233.9069, -221.059, -202.9315, -213.7958, -215.2301, -435.2924, 
4E-05, -446.8585, -212.5751, -228.5663, -230.2142, -225.8197, -227.5287, -215.2912, -225.3925, -182.6679, -214.6198, -193.8678, -231.0687, -223.8361, -218.7702, -200.9784, -224.2633, -228.0475, -222.0355, -202.0465, -201.1005, -221.5778, -216.5729, -425.6183, 
6E-05, -431.4166, -225.423, -228.6884, -225.2704, -225.0568, -222.0966, -231.4655, -222.5238, -174.7638, -224.9957, -212.2394, -226.7047, -219.5026, -223.9276, -188.6798, -220.0519, -224.2938, -221.6388, -227.0709, -199.8493, -214.6198, -227.5897, -431.9049, 
8E-05, -434.1937, -222.4628, -211.568, -223.714, -226.7658, -230.3363, -224.599, -226.369, -194.2951, -222.1576, -195.4547, -226.4301, -216.817, -229.3903, -200.4901, -233.7848, -215.4132, -218.6786, -233.3576, -205.5866, -232.6251, -227.5287, -427.5104, 
0.0001, -436.452, -216.8475, -229.9396, -229.9091, -223.9887, -228.9325, -213.7348, -222.9205, -200.8563, -231.1908, -205.1593, -228.3527, -225.6366, -227.7728, -212.9718, -218.6786, -231.2213, -230.4889, -225.2399, -206.2579, -229.7565, -234.3646, -416.1578, 
0.00012, -436.6962, -231.7706, -221.5167, -220.4181, -233.4186, -215.2606, -224.6295, -216.1151, -206.4105, -218.3734, -216.3593, -218.2208, -228.3222, -232.0758, -201.0089, -239.4306, -232.8388, -220.6317, -222.768, -197.3773, -216.6644, -242.4518, -423.3905, 
0.00014, -429.2499, -228.6579, -229.3903, -217.58, -210.744, -227.8339, -219.2279, -227.3456, -206.0748, -196.4923, -195.1801, -226.4911, -231.3434, -229.3292, -229.1461, -212.9108, -229.0241, -228.6273, -223.775, -215.7489, -222.6154, -217.1222, -443.1964, 
