Sweep Start (s), 110.6115, 110.7753, 110.9392, 111.103, 111.2669, 111.4307, 111.5945, 111.7584, 111.9222, 112.0861, 112.2499, 112.4137, 112.5776, 112.7414, 112.9053, 113.0691, 113.2329, 113.3968, 113.5606, 113.7245, 113.8883, 114.0521, 114.216, 114.3798, 114.5437, 114.7075, 114.8713, 115.0352, 115.199, 115.3629, 115.5267, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, 
0, -436.6046, -175.893, -197.2858, -211.5985, -217.6715, -192.4335, -200.5817, -214.4061, -437.0319, -198.2623, -203.3893, -217.8241, -196.7059, -225.3009, -193.41, -222.1271, -231.1298, -215.6574, -206.6852, -193.8678, -236.2872, -194.1425, -228.3222, -197.2858, -224.8432, -205.1288, -229.2377, -214.7418, -219.0143, -201.7719, -193.3185, 
2E-05, -433.4003, -179.8297, -193.1049, -211.2628, -222.7069, -204.7321, -187.1234, -222.6459, -432.149, -202.4738, -206.38, -219.3805, -191.64, -215.1996, -181.9049, -222.829, -216.1762, -213.6737, -191.1823, -207.265, -231.9843, -180.3485, -228.1391, -192.8913, -243.2453, -197.3773, -228.017, -231.6181, -216.9391, -217.2138, -183.0036, 
4E-05, -423.0853, -199.7272, -196.9196, -197.652, -229.1156, -206.6852, -192.2809, -230.1227, -434.0411, -206.6242, -218.0988, -226.0944, -203.3283, -218.1598, -207.6007, -224.9347, -225.5756, -213.338, -227.8644, -205.0678, -202.1076, -201.7413, -202.9926, -183.5529, -230.3668, -202.077, -223.2868, -215.81, -211.3544, -216.5424, -201.8329, 
6E-05, -429.8297, -199.4525, -203.8165, -198.5675, -221.0895, -212.392, -191.7011, -239.9494, -426.1371, -199.9103, -219.1364, -228.902, -199.0863, -217.2443, -204.4269, -212.1478, -221.4557, -217.6105, -227.132, -196.9806, -187.1539, -215.6574, -204.9152, -194.6918, -226.6132, -198.4149, -234.3036, -227.5287, -207.1124, -209.6149, -196.8585, 
8E-05, -429.4025, -199.5746, -203.2367, -196.6144, -204.7626, -196.5228, -199.6662, -229.9396, -430.9589, -199.361, -212.392, -225.1178, -208.913, -213.6127, -197.6825, -209.9811, -229.6344, -223.8361, -208.3942, -182.1185, -192.3114, -211.1408, -195.2106, -208.1806, -221.9745, -217.2138, -227.3761, -230.7636, -213.0023, -213.3075, -182.973, 
0.0001, -435.4449, -208.6383, -212.5751, -199.7272, -208.5773, -194.5697, -192.9828, -217.8851, -423.0548, -195.3937, -205.1288, -218.6481, -208.4552, -214.5282, -202.1381, -218.6786, -235.1581, -221.3642, -210.5609, -169.3012, -195.5463, -197.6825, -169.5758, -198.1403, -228.3527, -207.9059, -218.9838, -215.932, -207.3871, -210.5609, -184.7431, 
0.00012, -440.2667, -206.9293, -203.1452, -205.7086, -200.246, -202.7789, -200.0629, -224.7516, -430.9283, -190.4193, -204.8847, -231.8927, -192.2504, -226.9184, -193.5932, -219.0753, -223.2562, -222.6459, -217.641, -189.1681, -199.8798, -196.8585, -203.9081, -193.6237, -226.308, -197.6825, -224.1107, -225.0873, -225.8502, -226.9184, -186.8793, 
0.00014, -428.3649, -204.4574, -197.7741, -203.0841, -200.5512, -201.955, -202.7179, -221.8219, -442.0367, -201.0394, -197.4079, -224.4159, -196.4313, -215.4743, -194.3256, -219.8078, -217.1222, -231.5875, -213.9789, -189.3512, -202.0465, -206.3495, -197.0416, -203.725, -221.2116, -198.9032, -229.1156, -227.1625, -225.9723, -210.7746, -190.9076, 
