Sweep Start (s), 98.53986, 98.7037, 98.86754, 99.03138, 99.19522, 99.35906, 99.5229, 99.68674, 99.85058, 100.0144, 100.1783, 100.3421, 100.5059, 100.6698, 100.8336, 100.9975, 101.1613, 101.3251, 101.489, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, 
0, -435.0482, -191.579, -196.2177, -212.453, -194.6002, -194.7528, -219.1669, -224.3549, -211.7511, -229.9396, -204.7931, -197.9572, -191.4569, -197.0416, -217.641, -217.0612, -199.422, -194.3561, -183.3087, 
2E-05, -433.0951, -199.1474, -197.0416, -207.6007, -203.2367, -191.4569, -221.7914, -223.2868, -191.3043, -224.66, -195.6989, -190.755, -199.1474, -205.8307, -212.9718, -226.5216, -198.0792, -205.5866, -183.0341, 
4E-05, -430.4401, -201.1005, -202.7789, -209.9201, -197.9877, -200.3375, -217.0917, -228.6579, -198.537, -209.0045, -179.7687, -188.2831, -202.3822, -204.9152, -220.8759, -227.9559, -205.0678, -203.4503, -188.5883, 
6E-05, -427.3273, -185.9638, -203.1757, -202.6569, -196.1871, -192.8913, -218.3734, -226.5521, -213.5822, -233.8458, -194.3866, -210.5304, -200.1544, -207.9364, -225.8197, -221.6083, -188.7103, -209.1266, -189.6564, 
8E-05, -427.2357, -184.4379, -193.1964, -202.6874, -194.0814, -186.9098, -231.1298, -209.0656, -196.4313, -212.392, -210.3168, -215.4132, -198.7201, -219.7162, -225.5756, -222.768, -212.3615, -185.2313, -192.7081, 
0.0001, -437.4591, -197.7435, -185.6586, -218.8617, -193.2269, -191.8537, -220.7843, -220.174, -205.9833, -232.7777, -201.8634, -189.0766, -193.8983, -204.2743, -189.931, -223.653, -208.0585, -201.192, -199.5136, 
0.00012, -438.161, -200.3986, -195.6989, -213.7958, -197.8046, -202.7179, -231.557, -228.1696, -198.7811, -216.5729, -199.5746, -186.9098, -198.3844, -213.1854, -199.6356, -223.5919, -198.7506, -200.0018, -188.4967, 
0.00014, -415.1813, -206.6242, -184.4379, -200.185, -200.8869, -203.2672, -227.3151, -236.9586, -202.1991, -207.9975, -190.3888, -188.2526, -200.9174, -197.8961, -195.2716, -225.7587, -209.035, -178.0902, -191.7926, 
0.00016, -420.9796, -192.7692, -196.5534, -213.1854, -199.0558, -197.591, -225.8502, -225.1788, -207.204, -233.5712, -192.3114, -209.4623, -201.5277, -200.8869, -190.2362, -230.733, -189.0155, -205.2509, -195.6684, 
0.00018, -436.3605, -171.5289, -205.8307, -209.0045, -201.4972, -200.0018, -202.6874, -221.4862, -183.0036, -215.047, -197.4689, -196.7059, -192.2199, -195.6684, -205.8307, -219.3805, -193.9594, -190.755, -193.5016, 
0.0002, -431.6913, -180.2265, -199.0558, -208.6078, -199.1779, -207.7533, -214.9249, -211.2018, -180.1654, -231.557, -192.1893, -205.1593, -205.0983, -194.8444, -191.4874, -227.0099, -203.0536, -205.8917, -195.3632, 
0.00022, -428.609, -192.5861, -194.7833, -217.2443, -189.87, -205.3729, -230.0311, -216.0846, -181.5692, -230.611, -199.2694, -205.434, -209.3707, -217.4274, -196.767, -222.0355, -201.3141, -188.7409, -211.9037, 
0.00024, -426.9611, -194.5392, -207.5702, -214.3756, -195.058, -193.8983, -228.3222, -229.9091, -206.7157, -221.6693, -191.5485, -193.6847, -196.5228, -181.9049, -203.9386, -218.465, -196.3703, -196.004, -208.15, 
