Sweep Start (s), 182.9416, 183.1055, 183.2693, 183.4331, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, 
0, -450.9784, -224.7516, -219.7467, -227.4371, 
2E-05, -445.6073, -214.8944, -220.8759, -233.0829, 
4E-05, -436.2079, -242.9706, -220.9064, -235.1581, 
6E-05, -459.1571, -244.8627, -230.0617, -230.2753, 
8E-05, -446.4618, -221.8829, -233.8153, -233.1439, 
0.0001, -439.7174, -219.3195, -231.3739, -232.0758, 
0.00012, -453.7555, -222.5849, -221.8829, -218.3429, 
0.00014, -450.0323, -218.1293, -223.0121, -230.5194, 
0.00016, -450.6427, -222.7985, -225.5451, -228.4442, 
0.00018, -442.7081, -233.6933, -224.1413, -223.5309, 
0.0002, -428.5175, -224.8737, -231.7401, -222.6154, 
0.00022, -451.8634, -234.3952, -225.1483, -217.8546, 
0.00024, -452.1686, -239.5831, -218.0988, -218.3429, 
0.00026, -446.4008, -221.5778, -219.0448, -225.484, 
0.00028, -433.1866, -219.1059, -221.0895, -233.3881, 
0.0003, -436.6351, -223.6225, -230.7025, -230.3058, 
0.00032, -438.3746, -219.4415, -230.9467, -227.8034, 
0.00034, -451.5887, -228.6273, -234.2121, -222.4323, 
0.00036, -444.234, -223.4393, -221.9135, -226.0639, 
0.00038, -446.004, -230.5805, -221.3642, -230.0006, 
0.0004, -435.7196, -228.1696, -222.5849, -231.0993, 
0.00042, -443.7762, -228.7799, -218.6481, -231.6486, 
0.00044, -447.9266, -231.4044, -235.7684, -231.6486, 
0.00046, -436.4825, -218.8007, -233.266, -215.6268, 
0.00048, -443.9288, -227.2846, -223.4088, -213.0329, 
0.0005, -436.0553, -220.9674, -226.9184, -231.2213, 
0.00052, -437.1844, -227.4677, -225.5756, -233.0219, 
0.00054, -441.0907, -223.2868, -202.3822, -227.2846, 
0.00056, -442.1893, -217.3969, -211.9953, -218.0377, 
0.00058, -447.1332, -231.2824, -233.0524, -223.8056, 
0.0006, -447.8046, -242.2992, -233.5101, -232.6862, 
0.00062, -434.9261, -235.7379, -231.1603, -238.1793, 
0.00064, -439.6869, -215.2301, -225.9113, -220.2045, 
0.00066, -435.2618, -221.181, -229.9091, -224.2328, 
0.00068, -436.0858, -221.4557, -224.9042, -227.5287, 
0.0007, -451.8024, -238.3624, -231.4655, -222.9511, 
0.00072, -441.9452, -238.1793, -225.6671, -218.1598, 
0.00074, -438.4967, -216.0846, -231.8012, -240.6513, 
0.00076, -448.4149, -220.4486, -238.4845, -242.3602, 
0.00078, -448.2013, -223.2868, -231.3739, -220.6622, 
0.0008, -443.5321, -226.308, -222.8595, -217.9157, 
0.00082, -454.8236, -218.1903, -225.6976, -238.515, 
0.00084, -446.6144, -224.538, -214.1315, -227.2846, 
0.00086, -457.7838, -219.4415, -222.829, -224.8126, 
0.00088, -455.0067, -227.4677, -228.0475, -222.7069, 
0.0009, -446.8585, -227.0709, -216.2677, -219.8078, 
0.00092, -444.6613, -225.3314, -224.4464, -228.8715, 
0.00094, -443.9288, -230.9162, -215.2912, -222.6459, 
0.00096, -442.1283, -243.2453, -215.4437, -231.3739, 
0.00098, -444.6613, -239.4, -232.5336, -224.3854, 
0.001, -436.8488, -226.0028, -229.1156, -223.3173, 
0.00102, -449.8492, -245.7477, -224.6906, -213.7348, 
0.00104, -448.476, -237.8742, -228.5968, -222.6764, 
0.00106, -441.6705, -231.8622, -235.0971, -230.1227, 
0.00108, -434.7736, -218.4039, -233.1134, -228.4442, 
0.0011, -441.3654, -222.5238, -231.7096, -225.6366, 
0.00112, -444.3256, -224.538, -224.1718, -221.0895, 
0.00114, -437.5507, -226.3385, -246.1749, -220.2655, 
