Sweep Start (s), 121.8568, 122.0207, 122.1845, 122.3483, 122.5122, 122.676, 122.8399, 123.0037, 123.1675, 123.3314, 123.4952, 123.6591, 123.8229, 123.9867, 124.1506, 124.3144, 124.4783, 124.6421, 124.8059, 124.9698, 125.1336, 125.2975, 125.4613, 125.6251, 125.789, 125.9528, 126.1167, 126.2805, 126.4443, 126.6082, 126.772, 126.9359, 127.0997, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, Sweep #31, Sweep #32, Sweep #33, 
0, -428.1512, -195.5463, -227.7728, -201.2531, -196.1261, -188.161, -201.7108, -207.1124, -200.0934, -179.494, -208.5468, -223.1952, -201.8329, -207.7533, -229.5429, -203.725, -202.077, -216.0541, -189.4428, -203.3283, -219.8993, -190.5414, -213.0939, -211.0187, -223.9276, -185.7501, -190.9992, -234.9445, -179.372, -220.9064, -192.403, -203.6029, -211.1408, 
2E-05, -444.7833, -198.9948, -230.3974, -213.3991, -204.9152, -199.4525, -205.1898, -210.5914, -199.3915, -175.1605, -195.2716, -227.193, -206.38, -203.4198, -226.7352, -197.5604, -199.0863, -218.7091, -207.7838, -207.7838, -219.8078, -174.8248, -200.9479, -207.4176, -217.1222, -191.7926, -208.2111, -232.3505, -186.3605, -215.047, -208.4552, -202.4738, -195.6378, 
4E-05, -434.0106, -204.9152, -225.484, -198.7811, -208.7299, -210.1337, -203.1146, -207.7228, -204.9762, -170.766, -200.3986, -225.1178, -190.3278, -196.0651, -219.1364, -193.2575, -197.4994, -221.8219, -200.185, -194.4782, -219.5636, -175.5878, -203.6945, -204.4879, -214.4367, -183.0951, -214.0094, -218.8922, -212.6056, -208.3026, -186.8183, -190.755, -209.2182, 
6E-05, -437.9779, -200.1239, -210.0726, -200.1544, -193.9594, -212.2089, -209.035, -190.6329, -216.0236, -193.0133, -195.5768, -219.289, -200.0018, -202.077, -218.9533, -203.725, -200.4596, -202.2907, -195.1496, -203.4809, -225.8197, -196.004, -223.5004, -212.6666, -235.3412, -183.1256, -214.0094, -220.174, -205.7392, -198.9032, -197.4994, -206.4105, -222.8595, 
8E-05, -450.8563, -206.8378, -221.3947, -205.9223, -186.8488, -204.1522, -200.3375, -193.5626, -208.2416, -183.3698, -194.5392, -232.442, -208.15, -202.0465, -230.5805, -201.1615, -200.8258, -223.0731, -197.652, -204.0607, -225.9723, -210.2558, -221.4252, -211.507, -233.6322, -188.8019, -211.7206, -211.0187, -185.0482, -207.9364, -209.1266, -204.2133, -226.1859, 
0.0001, -435.8417, -209.4623, -224.8126, -217.9157, -201.9245, -211.507, -202.8095, -213.3991, -199.2084, -178.548, -199.483, -233.0829, -213.7348, -208.4857, -234.3036, -202.9315, -202.3517, -236.5009, -212.6056, -200.7343, -233.327, -207.3871, -220.6317, -200.5206, -227.8949, -197.9572, -201.1615, -217.8851, -186.2995, -210.0116, -200.7648, -189.6259, -228.5358, 
0.00012, -419.057, -197.0111, -221.8219, -219.9298, -199.9103, -214.4977, -204.1522, -210.8966, -206.0443, -184.1022, -208.8825, -214.6198, -197.713, -206.319, -232.32, -192.5556, -207.0209, -227.5287, -204.549, -197.7435, -219.5331, -192.1588, -216.6644, -208.4552, -213.8568, -194.0509, -179.7687, -224.8737, -194.7223, -205.3729, -206.2274, -198.0182, -226.308, 
0.00014, -439.046, -212.8803, -234.1205, -220.9979, -205.6781, -200.8258, -224.8432, -204.671, -196.7975, -168.111, -203.1757, -214.4977, -195.7599, -203.1146, -214.8029, -189.4122, -206.9293, -231.9232, -208.2111, -208.6994, -228.3527, -204.1828, -209.5844, -208.5773, -220.7538, -201.9855, -202.7484, -234.7919, -202.901, -182.6373, -204.1217, -212.2699, -228.0475, 
