Sweep Start (s), 16.46874, 16.63258, 16.79642, 16.96026, 17.1241, 17.28794, 17.45178, 17.61562, 17.77946, 17.9433, 18.10714, 18.27098, 18.43482, 18.59866, 18.7625, 18.92634, 19.09018, 19.25402, 19.41786, 19.5817, 19.74554, 19.90938, 20.07322, 20.23706, 20.4009, 20.56474, 20.72858, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, 
0, -431.1115, -202.3212, -205.3424, -200.9479, -200.5817, -211.8427, -202.5348, -187.0624, -290.6696, -178.609, -194.1425, -198.5675, -224.66, -204.9152, -203.786, -217.9462, -196.4923, -202.5653, -209.5538, -192.8607, -203.6334, -211.8732, -206.9599, -188.7103, -198.9948, -200.1239, -203.3283, 
2E-05, -423.1769, -195.4242, -191.3959, -195.7599, -201.9245, -207.3566, -205.5255, -183.736, -256.9781, -173.6041, -196.1871, -194.5087, -214.0704, -202.5653, -192.8302, -210.8966, -194.112, -211.7816, -202.5653, -191.5485, -180.318, -206.9599, -204.2743, -189.9005, -195.3937, -198.2929, -191.6705, 
4E-05, -435.2313, -207.7838, -196.2482, -196.2177, -209.2792, -213.6127, -189.4428, -193.5626, -240.7123, -189.6564, -187.8559, -188.8324, -219.0143, -207.5702, -186.9403, -230.0922, -194.5087, -211.2323, -202.9926, -199.5746, -190.1752, -206.2274, -217.3053, -194.6308, -198.1403, -209.4928, -197.7741, 
6E-05, -440.0531, -197.0722, -200.7038, -197.2858, -204.2438, -202.6264, -198.7201, -194.9054, -231.9538, -194.7223, -191.2738, -191.5485, -214.5587, -208.3331, -193.1659, -225.2704, -206.9904, -209.4013, -200.9784, -195.4852, -199.1779, -191.64, -219.2584, -188.161, -197.9572, -183.6444, -208.8214, 
8E-05, -431.9965, -202.016, -199.483, -196.2177, -210.1032, -208.3637, -198.7811, -192.4335, -185.4755, -197.4994, -188.2221, -190.4804, -227.2235, -193.349, -206.7767, -224.4159, -200.9174, -196.7059, -204.2743, -201.5277, -204.3964, -187.276, -218.7091, -203.2977, -224.2633, -189.9005, -197.652, 
0.0001, -425.1605, -197.4384, -202.6874, -207.4481, -199.2999, -208.4247, -201.4667, -178.0597, -163.5944, -202.4433, -197.3773, -201.131, -227.9865, -191.4569, -195.7904, -221.944, -204.8236, -213.6432, -207.1124, -189.0766, -196.6449, -206.6242, -207.6618, -202.3212, -221.5167, -203.6029, -195.7599, 
0.00012, -420.4608, -192.0978, -198.4149, -209.035, -209.1571, -202.4433, -203.6945, -182.3932, -149.5563, -200.3986, -200.1544, -198.2929, -215.3827, -197.9267, -199.6967, -213.1854, -187.7643, -225.7892, -199.9103, -198.8117, -193.0133, -198.6286, -204.7931, -191.0602, -209.9811, -192.7387, -198.0792, 
0.00014, -435.1703, -192.0368, -196.9196, -206.9293, -205.7392, -206.5631, -184.56, -180.5011, -136.861, -201.1615, -204.0607, -201.1615, -230.8856, -194.8444, -201.9245, -220.6928, -187.3371, -222.8595, -185.5975, -200.7648, -193.6237, -188.8019, -209.7064, -189.3817, -200.7343, -194.7833, -198.3234, 
