Sweep Start (s), 103.9843, 104.1481, 104.312, 104.4758, 104.6397, 104.8035, 104.9673, 105.1312, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, 
0, -449.7272, -221.7304, -229.787, -240.3766, -225.9113, -259.7247, -234.0595, -225.6366, 
2E-05, -437.1539, -235.9516, -217.8851, -236.0431, -229.4513, -250.0202, -236.8366, -232.2894, 
4E-05, -447.1027, -235.7684, -230.4584, -228.5663, -220.174, -243.4589, -235.4022, -227.3151, 
6E-05, -454.2743, -235.8295, -222.7985, -239.8883, -230.3363, -246.7853, -218.9533, -217.0917, 
8E-05, -440.6024, -232.7777, -229.4513, -229.0546, -230.3668, -234.6393, -217.6715, -230.0006, 
0.0001, -447.0111, -230.5194, -234.1205, -221.6083, -228.7494, -231.0077, -228.1391, -234.7003, 
0.00012, -441.1517, -232.0453, -233.327, -224.2328, -228.017, -229.8175, -238.5455, -234.8224, 
0.00014, -429.0668, -221.6388, -245.9003, -232.7777, -223.1037, -238.8202, -233.7848, -223.0121, 
0.00016, -446.4313, -225.9723, -232.8693, -224.9347, -236.0431, -237.3248, -222.4017, -220.9064, 
0.00018, -445.4547, -227.8339, -229.2377, -233.0524, -240.8954, -238.9423, -228.4747, -238.8507, 
0.0002, -441.2738, -234.8834, -230.3363, -230.8551, -231.7401, -240.6818, -236.1957, -244.4354, 
0.00022, -449.5746, -244.9542, -233.205, -226.0944, -226.6132, -228.5053, -239.4, -240.1325, 
0.00024, -435.9943, -231.496, -229.5734, -238.9118, -228.4442, -229.2987, -227.132, -231.7096, 
0.00026, -447.2858, -225.8197, -230.5805, -233.6933, -239.1559, -228.5053, -225.2399, -220.235, 
0.00028, -463.7042, -232.2589, -238.9118, -218.6176, -235.5548, -224.5075, -237.3248, -221.0895, 
0.0003, -450.2765, -236.5314, -235.7684, -227.7728, -233.8764, -234.1815, -236.1347, -242.4518, 
0.00032, -455.3729, -231.0993, -230.611, -237.2638, -233.2355, -234.5172, -239.7968, -240.7428, 
0.00034, -443.1659, -230.3058, -226.247, -233.9374, -226.369, -232.2589, -240.9564, -227.6203, 
0.00036, -444.295, -227.7423, -229.9701, -234.2121, -243.9777, -218.1598, -238.4235, -218.9838, 
0.00038, -447.3468, -230.3974, -227.0404, -240.4987, -234.8529, -220.4486, -226.3385, -221.944, 
0.0004, -443.2269, -229.9396, -235.036, -241.3532, -235.6464, -243.642, -226.369, -238.8812, 
0.00042, -437.0624, -237.9047, -239.1254, -222.4323, -240.4987, -244.3134, -235.2191, -232.1369, 
0.00044, -444.0509, -235.8905, -221.2116, -224.599, -245.7782, -240.6818, -233.6933, -229.6954, 
0.00046, -441.0602, -209.4928, -243.0011, -216.8781, -236.2262, -223.1952, -225.362, -228.2001, 
0.00048, -436.33, -219.6552, -244.0997, -220.2045, -227.132, -224.8737, -231.0993, -223.2257, 
0.0005, -435.0787, -243.7946, -231.9232, -224.6295, -228.078, -237.6911, -233.7848, -221.3336, 
0.00052, -443.1659, -244.8322, -236.5924, -230.0311, -233.8458, -221.8219, -230.1837, -232.0758, 
0.00054, -458.15, -234.9445, -234.8834, -244.3439, -240.8954, -220.4486, -222.9816, -222.4628, 
0.00056, -442.1283, -236.7145, -245.1068, -231.496, -229.0546, -231.1603, -234.3036, -218.9838, 
0.00058, -442.3419, -238.3014, -234.8529, -214.8029, -227.7118, -238.5761, -243.4284, -242.2992, 
0.0006, -448.3539, -228.7494, -228.3222, -219.8688, -228.3527, -236.8366, -228.4442, -237.7216, 
0.00062, -440.3278, -213.7348, -232.8998, -241.5058, -235.799, -224.9957, -223.9276, -231.0993, 
0.00064, -438.8629, -226.7658, -232.1369, -245.9918, -240.987, -232.2284, -222.7985, -225.0263, 
0.00066, -443.1659, -234.6393, -232.9913, -240.5902, -227.193, -228.4747, -225.3009, -222.7374, 
0.00068, -442.0673, -216.5119, -214.986, -237.4469, -219.5026, -224.8432, -226.8268, -231.0382, 
0.0007, -437.337, -228.3832, -223.3783, -238.8507, -235.1276, -214.1315, -229.1461, -241.4752, 
0.00072, -442.1893, -230.7941, -234.975, -218.3429, -235.0971, -233.5712, -227.8949, -232.0148, 
0.00074, -444.6002, -224.6906, -230.5805, -226.1554, -225.1178, -244.8932, -229.5429, -234.8834, 
0.00076, -444.234, -239.7663, -234.09, -232.8998, -239.8883, -236.1347, -236.5619, -226.7963, 
0.00078, -446.9806, -225.1483, -225.4535, -227.8339, -230.3668, -229.787, -226.8573, -233.6322, 
0.0008, -449.422, -225.3925, -227.5897, -227.8034, -222.3102, -221.6388, -224.7821, -238.3319, 
0.00082, -442.0673, -237.2638, -226.8573, -228.2611, -230.2753, -219.7772, -229.2072, -225.5145, 
0.00084, -440.3583, -225.5451, -235.8905, -235.7379, -227.5897, -226.6437, -249.3793, -224.8126, 
0.00086, -437.8558, -229.1461, -235.2191, -228.3222, -229.4208, -224.2633, -239.6137, -226.6437, 
0.00088, -452.3212, -231.7401, -232.5336, -242.2992, -238.0878, -238.3319, -237.2943, -236.9892, 
0.0009, -436.1469, -228.2916, -221.6388, -241.5668, -235.2496, -227.7728, -238.8202, -232.8998, 
0.00092, -441.1517, -238.5761, -233.2965, -219.6857, -221.181, -230.0617, -259.6637, -241.5668, 
