Sweep Start (s), 119.0168, 119.1807, 119.3445, 119.5084, 119.6722, 119.836, 119.9999, 120.1637, 120.3276, 120.4914, 120.6552, 120.8191, 120.9829, 121.1468, 121.3106, 121.4744, 121.6383, 121.8021, 121.966, 122.1298, 122.2936, 122.4575, 122.6213, 122.7852, 122.949, 123.1128, 123.2767, 123.4405, 123.6044, 123.7682, 
Time (s), Sweep #1, Sweep #2, Sweep #3, Sweep #4, Sweep #5, Sweep #6, Sweep #7, Sweep #8, Sweep #9, Sweep #10, Sweep #11, Sweep #12, Sweep #13, Sweep #14, Sweep #15, Sweep #16, Sweep #17, Sweep #18, Sweep #19, Sweep #20, Sweep #21, Sweep #22, Sweep #23, Sweep #24, Sweep #25, Sweep #26, Sweep #27, Sweep #28, Sweep #29, Sweep #30, 
0, -420.3082, -200.2155, -200.6427, -197.5604, -199.6051, -198.1098, -206.319, -201.07, -181.3251, -202.2601, -196.4618, -225.7587, -193.9594, -209.1876, -226.247, -200.6427, -182.1796, -185.0788, -195.882, -190.3888, -183.8886, -231.435, -187.3981, -176.7475, -218.0988, -192.9218, -192.7387, -182.1796, -204.2438, -198.2013, 
2E-05, -420.4608, -182.2711, -192.1588, -209.5844, -192.8302, -197.652, -198.9032, -197.8351, -207.4787, -189.809, -193.8678, -219.289, -202.4433, -203.786, -222.1881, -193.3795, -188.1305, -205.0983, -204.6405, -187.0929, -189.3817, -216.0541, -193.6237, -176.4728, -230.2753, -201.07, -197.3468, -194.3256, -210.1032, -203.0536, 
4E-05, -431.2946, -183.3698, -195.9125, -208.15, -196.9196, -198.4149, -190.5414, -194.0204, -197.4384, -195.6989, -207.6923, -224.0192, -205.495, -205.1593, -224.0497, -201.4362, -189.7785, -200.5206, -201.9245, -207.8143, -203.7555, -234.3341, -192.4945, -180.8063, -219.5941, -201.2225, -193.7763, -181.1115, -203.2062, -189.2597, 
6E-05, -436.5131, -195.2411, -188.2831, -198.2013, -192.3725, -202.7179, -206.6242, -189.3512, -194.8139, -208.1195, -200.9174, -231.5265, -201.3141, -199.7577, -223.4393, -202.2296, -185.506, -201.5888, -208.4247, -188.7409, -199.0253, -222.1881, -191.1212, -183.797, -207.6007, -194.7833, -189.5954, -193.288, -192.7692, -196.828, 
8E-05, -421.2238, -195.7599, -183.8886, -192.7387, -196.4923, -183.5834, -204.9762, -195.4852, -202.7179, -209.4623, -192.7692, -223.2257, -192.7387, -198.5065, -207.1735, -207.9975, -185.2924, -191.3043, -192.4945, -191.1517, -213.9179, -224.2938, -185.2924, -187.5812, -221.8524, -198.1403, -194.6308, -211.2934, -189.4428, -189.87, 
0.0001, -423.3295, -199.8493, -192.3114, -190.9381, -194.9359, -190.0531, -192.6776, -200.2155, -200.185, -193.6237, -198.9032, -217.6715, -202.4127, -198.6286, -213.8263, -214.2536, -174.6723, -188.3746, -195.119, -205.495, -198.7506, -215.1691, -191.1823, -200.3986, -225.1483, -203.5724, -196.5228, -203.7555, -184.9872, -194.5087, 
0.00012, -440.4193, -190.1752, -192.9828, -190.755, -196.9501, -205.2204, -190.755, -210.3778, -200.9784, -175.6183, -194.8139, -216.9086, -192.8607, -192.6471, -232.4725, -214.986, -179.5856, -206.7767, -191.9147, -209.035, -187.9779, -203.4503, -194.8139, -179.1583, -217.6105, -203.786, -185.9943, -209.0961, -196.0651, -196.2482, 
0.00014, -403.432, -192.8302, -192.7692, -192.3419, -196.9806, -214.8029, -189.3817, -197.591, -197.7741, -187.0929, -200.3986, -215.7184, -210.7135, -191.9147, -221.3947, -201.8024, -186.9098, -200.5512, -199.7577, -195.2106, -198.7201, -225.5756, -194.9054, -170.9491, -221.6693, -204.549, -191.9147, -207.7838, -183.5224, -211.507, 
